Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	168449	2 Western Hill	13/10/2006	24/01/2007	-	$540,000	1240m	Full transfer	-	-	-	-	-	$540,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	37169	8 Mayfield Hill	22/07/2006	18/09/2006	28/06/2006	$506,000	914m	Full transfer	4	2	1	2	-	$506,000	24	-	Combined Record	-	-	-	Single residential dwelling	$189,000	0.37
2006	165618	12 Hingston Close	13/10/2006	21/11/2006	21/06/2006	$490,000	895m	Full transfer	5	1	1	2	-	$490,000	114	-	Combined Record	-	-	-	Single residential dwelling	$133,000	0.27
2006	306825	54 Noarlunga Crescent	02/09/2006	20/11/2006	-	$448,000	905m	Full transfer	-	-	-	-	-	$448,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	206074	27 Kneebone Street	16/06/2006	20/07/2006	29/03/2006	$445,000	810m	Full transfer	4	1	1	3	-	$445,000	79	-	Combined Record	-	-	-	Single residential dwelling	$143,000	0.32
2006	164453	12 Kneebone Street	27/06/2006	14/03/2007	29/05/2006	$445,000	761m	Full transfer	4	1	1	2	1	$445,000	29	-	Combined Record	-	-	-	Single residential dwelling	$146,000	0.33
2006	203367	7 Marquet Retreat	28/07/2006	15/09/2006	15/02/2006	$445,000	809m	Full transfer	4	1	1	2	-	$445,000	163	-	Combined Record	-	-	-	Single residential dwelling	$143,000	0.32
2006	168180	21 Harcus Close	06/06/2006	08/08/2006	-	$429,000	928m	Full transfer	-	-	-	-	-	$429,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	203119	59 Kingscote Crescent	02/11/2006	05/01/2007	19/07/2006	$428,000	886m	Full transfer	4	1	1	2	1	$428,000	106	-	Combined Record	-	-	-	Single residential dwelling	$143,000	0.33
2006	34078	6 Dashwood Retreat	28/09/2006	20/12/2006	-	$420,000	653m	Full transfer	-	-	-	-	-	$420,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	206141	5/3 Derrington Crescent	30/05/2006	01/08/2006	-	$410,000	9214m	Full transfer	-	-	-	-	-	$410,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	318270	17 Hurtle Avenue	28/07/2006	03/10/2006	-	$405,500	876m	Full transfer	-	-	-	-	-	$405,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	35890	17 Dashwood Retreat	10/11/2006	10/01/2007	17/10/2006	$405,000	666m	Full transfer	4	1	1	-	1	$405,000	24	-	Combined Record	-	-	-	Single residential dwelling	$152,000	0.38
2006	206147	3 Hare Place	09/05/2006	02/06/2006	-	$405,000	824m	Full transfer	-	-	-	-	-	$405,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	33288	7/5 Coombe Street	08/12/2006	26/02/2007	30/11/2006	$395,000	14838m	Full transfer	3	1	1	2	-	$395,000	8	-	Combined Record	-	-	-	Multiple unit dwelling	-	-
2006	33842	7 Milne Cove	26/10/2006	20/12/2006	11/10/2006	$395,000	765m	Full transfer	4	1	1	2	-	$395,000	15	-	Combined Record	-	-	-	Single residential dwelling	$146,000	0.37
2006	301800	            49 Bardolph Street	11/03/2006	17/05/2006	-	$393,500	844m	Full transfer	-	-	-	-	-	$393,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	315952	8 Southwood Retreat	28/08/2006	19/09/2006	-	$387,000	839m	Full transfer	-	-	-	-	-	$387,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	206118	16 Helen Mayo Crescent	28/03/2006	24/04/2006	28/02/2006	$387,000	871m	Full transfer	3	1	1	2	-	$387,000	28	-	Combined Record	-	-	-	Single residential dwelling	$138,000	0.36
2006	206092	75 Kingscote Crescent	17/03/2006	06/04/2006	02/12/2005	$385,000	898m	Full transfer	4	1	1	2	-	$385,000	105	-	Combined Record	-	-	-	Single residential dwelling	$152,000	0.39
2006	206051	6/70 Hurtle Avenue	19/04/2006	26/05/2006	-	$382,000	5018m	Full transfer	-	-	-	-	-	$382,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	206199	55 Tenison-Woods Circuit	08/02/2006	09/03/2006	-	$381,000	315m	Full transfer	-	-	-	-	-	$381,000	-	-	Government Record	-	-	-	Town house block	-	-
2006	168179	10 Derrington Crescent	30/06/2006	10/08/2006	-	$378,000	956m	Full transfer	-	-	-	-	-	$378,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	315612	66 Barr Smith Avenue	17/08/2006	06/11/2006	-	$375,000	854m	Full transfer	-	-	-	-	-	$375,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	169298	96 Barr Smith Avenue	22/12/2006	20/02/2007	-	$367,000	738m	Full transfer	-	-	-	-	-	$367,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	206039	20 Bardolph Street	10/03/2006	24/04/2006	-	$365,000	880m	Full transfer	-	-	-	-	-	$365,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	229572	28 Tenison-Woods Circuit	07/09/2006	29/10/2006	-	$361,500	313m	Full transfer	-	-	-	-	-	$361,500	-	-	Government Record	-	-	-	Town house block	-	-
2006	33404	79 Tenison-Woods Circuit	27/11/2006	01/03/2007	-	$360,000	420m	Full transfer	-	-	-	-	-	$360,000	-	-	Government Record	-	-	-	Town house block	-	-
2006	206152	2/43 Derrington Crescent	07/02/2006	07/04/2006	-	$355,000	11631m	Full transfer	-	-	-	-	-	$355,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	168654	9/61 Derrington Crescent	13/09/2006	05/10/2006	20/07/2006	$352,500	15882m	Full transfer	3	1	1	2	-	$352,500	55	-	Combined Record	-	-	-	Multiple unit dwelling	$1,602,000	4.54
2006	203543	12/70 Hurtle Avenue	16/06/2006	30/08/2006	-	$352,000	5018m	Full transfer	-	-	-	-	-	$352,000	-	-	Government Record	-	-	-	Shop	-	-
2006	167320	4 Kingscote Crescent	29/06/2006	07/05/2007	-	$350,000	1156m	Full transfer	-	-	-	-	-	$350,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	206149	5/29 Derrington Crescent	30/05/2006	06/07/2006	-	$349,000	7960m	Full transfer	-	-	-	-	-	$349,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	81446	5 Brooker Street	27/07/2006	-	18/05/2006	$349,000	265m	Full transfer	3	1	1	-	-	$349,000	70	-	Allhomes Record	-	-	-	-	$115,000	0.33
2006	206078	74 Barr Smith Avenue	15/02/2006	08/03/2006	-	$348,000	813m	Full transfer	-	-	-	-	-	$348,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	34653	5 Brooker Street	14/08/2006	22/08/2006	-	$340,000	265m	Full transfer	-	-	-	-	-	$340,000	-	-	Government Record	-	-	-	Town house block	-	-
