Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	169460	150 Northbourne Avenue	14/08/2006	16/11/2006	-	$14,392,000	10351m	Full transfer	-	-	-	-	-	$14,392,000	-	-	Government Record	-	-	-	Hotel	-	-
2006	33699	82 Northbourne Avenue	22/12/2006	24/05/2007	-	$8,000,000	2090m	Full transfer	-	-	-	-	-	$8,000,000	-	-	Government Record	-	-	-	Residential	-	-
2006	203307	48 Mort Street	19/09/2006	17/01/2007	-	$4,000,000	1533m	Full transfer	-	-	-	-	-	$4,000,000	-	-	Government Record	-	-	-	Residential	-	-
2006	34384	29 Lonsdale Street	13/06/2006	27/09/2006	-	$2,950,000	1256m	Full transfer	-	-	-	-	-	$2,950,000	-	-	Government Record	-	-	-	Industry	-	-
2006	34385	37 Torrens Street	11/07/2006	27/09/2006	-	$1,625,000	1150m	Full transfer	-	-	-	-	-	$1,625,000	-	-	Government Record	-	-	-	Office,professional suite	-	-
2006	17503	            78 Henty Street	15/09/2006	25/10/2006	-	$1,585,000	876m	Full transfer	-	-	-	-	-	$1,585,000	-	-	Government Record	-	-	-	Car park	-	-
2006	203546	65 Torrens Street	03/07/2006	29/08/2006	-	$1,320,000	1533m	Full transfer	-	-	-	-	-	$1,320,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	202978	15 Lonsdale Street	21/08/2006	05/01/2007	-	$1,265,000	1254m	Full transfer	-	-	-	-	-	$1,265,000	-	-	Government Record	-	-	-	Newsagent,stationer,book shop	-	-
2006	206384	7/74 Northbourne Avenue	13/04/2006	19/07/2006	-	$1,045,000	4172m	Full transfer	-	-	-	-	-	$1,045,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	33438	42 Henty Street	09/09/2006	28/02/2007	-	$1,020,000	1059m	Full transfer	-	-	-	-	-	$1,020,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	37172	42 Girrahween Street	12/07/2006	22/09/2006	-	$1,010,000	1486m	Full transfer	-	-	-	-	-	$1,010,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	35615	10/1 Fawkner Street	16/11/2006	09/01/2007	-	$785,000	1394m	Full transfer	-	-	-	-	-	$785,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	409522	10 Chapman Street	17/10/2006	13/02/2007	27/09/2006	$749,000	966m	Full transfer	3	1	1	1	-	$749,000	20	-	Combined Record	-	-	-	Single residential dwelling	$518,000	0.69
2006	206745	53 Limestone Avenue	03/03/2006	02/06/2006	-	$708,000	1296m	Full transfer	-	-	-	-	-	$708,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	21519	            44 Donaldson Street	03/03/2006	-	22/11/2005	$708,000	1296m	Full transfer	4	1	1	1	1	$708,000	101	-	Allhomes Record	-	-	-	-	$475,000	0.67
2006	89173	1/29 Elder Street	09/11/2006	-	27/09/2006	$695,000	2824m	Full transfer	3	1	1	2	-	$695,000	43	-	Allhomes Record	-	-	-	-	-	-
2006	14022	            26 Ijong Street	30/03/2006	17/05/2006	-	$690,000	894m	Full transfer	-	-	-	-	-	$690,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	206261	24 Ijong Street	30/03/2006	17/05/2006	-	$690,000	894m	Full transfer	-	-	-	-	-	$690,000	-	-	Government Record	-	-	-	For residential purposes only	-	-
2006	206746	1/33 Gooreen Street	07/02/2006	30/03/2006	-	$685,000	2824m	Full transfer	-	-	-	-	-	$685,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	35660	3/78 Torrens Street	15/11/2006	10/01/2007	-	$663,500	3730m	Full transfer	-	-	-	-	-	$663,500	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	164817	68 Elimatta Street	30/08/2006	09/10/2006	11/08/2006	$650,000	1138m	Full transfer	2	1	-	1	-	$650,000	19	-	Combined Record	-	-	-	Single residential dwelling...	$548,000	0.84
2006	165152	1/109A Limestone Avenue	14/12/2006	15/02/2007	-	$605,000	1189m	Full transfer	-	-	-	-	-	$605,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	169422	20 Donaldson Street	22/12/2006	20/02/2007	26/10/2006	$585,000	845m	Full transfer	2	1	-	1	-	$585,000	57	-	Combined Record	-	-	-	Single residential dwelling	$454,000	0.78
2006	168182	52 Currong Street	31/05/2006	10/08/2006	-	$580,000	743m	Partial transfer	-	-	-	-	-	$580,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	34655	10/78 Torrens Street	19/07/2006	23/08/2006	20/06/2006	$565,000	3730m	Full transfer	4	1	1	2	-	$565,000	29	-	Combined Record	-	-	-	Multiple unit dwelling	-	-
2006	206699	10 Donaldson Street	23/03/2006	11/05/2006	17/02/2006	$561,000	743m	Full transfer	2	1	-	1	1	$561,000	34	-	Combined Record	-	-	-	Single residential dwelling	$427,000	0.76
2006	33976	13/78 Torrens Street	03/11/2006	20/12/2006	-	$540,000	3730m	Full transfer	-	-	-	-	-	$540,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	87847	13/78 Torrens Street	07/11/2006	-	07/09/2006	$540,000	3730m	Full transfer	4	1	1	2	-	$540,000	61	-	Allhomes Record	-	-	-	-	-	-
2006	169777	2/17 Wise Street	23/10/2006	13/12/2006	-	$535,000	1149m	Full transfer	-	-	-	-	-	$535,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	169458	7/78 Torrens Street	13/09/2006	13/11/2006	20/07/2006	$530,000	3730m	Full transfer	3	2	-	2	-	$530,000	55	-	Combined Record	-	-	-	Multiple unit dwelling	-	-
2006	35843	4/17 Wise Street	26/10/2006	11/01/2007	-	$530,000	1149m	Full transfer	-	-	-	-	-	$530,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	35865	73 Limestone Avenue	15/09/2006	10/01/2007	-	$520,000	1324m	Full transfer	-	-	-	-	-	$520,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	169372	1/7 Elder Street	15/11/2006	23/02/2007	-	$512,000	1412m	Full transfer	-	-	-	-	-	$512,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	206319	1/59 Torrens Street	05/05/2006	14/07/2006	-	$510,000	1533m	Full transfer	-	-	-	-	-	$510,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	77167	3/19 Wise Street	02/03/2006	-	10/03/2006	$508,500	1317m	Full transfer	3	2	-	1	1	$508,500	-	-	Allhomes Record	-	-	-	-	$690,000	1.36
2006	206804	3/19 Wise Street	28/03/2006	17/05/2006	-	$508,500	1318m	Full transfer	-	-	-	-	-	$508,500	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	206229	1/37 Ipima Street	13/02/2006	30/03/2006	-	$501,000	5288m	Full transfer	-	-	-	-	-	$501,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	76767	17 Wise Street	05/12/2006	-	03/03/2006	$498,000	1149m	Full transfer	3	1	1	2	-	$498,000	277	-	Allhomes Record	-	-	-	-	$740,000	1.49
2006	206230	16/37 Ipima Street	22/02/2006	06/04/2006	-	$495,000	5288m	Full transfer	-	-	-	-	-	$495,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	409521	4/32 Gooreen Street	06/12/2006	20/03/2007	20/10/2006	$492,500	3200m	Full transfer	3	1	1	2	-	$492,500	47	-	Combined Record	-	-	-	Multiple unit dwelling	-	-
2006	168181	17/37 Ipima Street	01/06/2006	11/08/2006	-	$484,000	5288m	Full transfer	-	-	-	-	-	$484,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	34654	22/37 Ipima Street	09/07/2006	22/08/2006	-	$480,000	5288m	Full transfer	-	-	-	-	-	$480,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	5429	            71/32 Torrens Street	22/06/2006	10/09/2007	-	$475,000	5922m	Full transfer	-	-	-	-	-	$475,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	34657	6/10 Ijong Street	30/06/2006	21/08/2006	-	$471,000	3577m	Full transfer	-	-	-	-	-	$471,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	81748	6/10 Ijong Street	05/07/2006	-	25/05/2006	$471,000	225m	Full transfer	3	1	1	2	-	$471,000	41	-	Allhomes Record	-	-	-	-	-	-
2006	206752	8 Lowanna Street	05/05/2006	05/06/2006	29/03/2006	$470,000	562m	Full transfer	3	1	-	-	-	$470,000	37	-	Combined Record	-	-	-	Single residential dwelling	$352,000	0.75
2006	35057	2/69 Torrens Street	12/07/2006	10/06/2007	-	$470,000	1073m	Full transfer	-	-	-	-	-	$470,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	10453	            20/80 Torrens Street	19/06/2006	21/02/2007	-	$450,000	3292m	Full transfer	-	-	-	-	-	$450,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	164094	48 Ijong Street	03/07/2006	15/08/2006	17/05/2006	$450,000	613m	Full transfer	3	1	-	1	-	$450,000	47	-	Combined Record	-	-	-	Single residential dwelling	$386,000	0.86
2006	120027	1/7 Coolac Place	19/01/2006	02/04/2007	-	$448,000	2303m	Full transfer	-	-	-	-	-	$448,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	206708	8 Dooring Street	21/03/2006	04/05/2006	24/01/2006	$440,000	514m	Full transfer	3	1	-	-	2	$440,000	56	-	Combined Record	-	-	-	Single residential dwelling	$332,000	0.75
2006	167151	7/7 Coolac Place	10/01/2006	10/04/2007	-	$439,000	2303m	Full transfer	-	-	-	-	-	$439,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
