Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	169272	26 Thynne Street	01/11/2006	22/02/2007	-	$9,750,000	9075m	Full transfer	-	-	-	-	-	$9,750,000	-	-	Government Record	-	-	-	Office,professional suite	-	-
2006	164102	9 Thynne Street	29/05/2006	15/08/2006	-	$5,494,726	4093m	Full transfer	-	-	-	-	-	$5,494,726	-	-	Government Record	-	-	-	Office,professional suite	-	-
2006	206888	4 Clews Place	24/05/2006	06/07/2006	21/03/2006	$1,200,000	1402m	Full transfer	4	2	1	6	-	$1,200,000	64	-	Combined Record	-	-	-	Single residential dwelling	$398,000	0.33
2006	169461	12 Weatherburn Place	03/04/2006	17/11/2006	03/02/2006	$1,150,000	1741m	Full transfer	4	1	2	2	1	$1,150,000	59	-	Combined Record	-	-	-	Single residential dwelling	$413,000	0.36
2006	34089	1 Weatherburn Place	03/08/2006	27/11/2006	-	$915,000	1394m	Full transfer	-	-	-	-	-	$915,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	34387	6 Cobbett Place	12/08/2006	29/09/2006	13/07/2006	$810,000	1054m	Full transfer	6	2	1	3	1	$810,000	30	-	Combined Record	-	-	-	Single residential dwelling...	$369,000	0.46
2006	235270	2/1 Braybrooke Street	08/09/2006	19/03/2008	-	$777,150	13523m	Full transfer	-	-	-	-	-	$777,150	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	33965	13 Fitzherbert Place	27/10/2006	22/12/2006	-	$690,000	836m	Full transfer	-	-	-	-	-	$690,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	166498	53/29 Thynne Street	25/08/2006	10/08/2007	-	$690,000	27427m	Full transfer	-	-	-	-	-	$690,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	206922	5 Hytten Place	24/04/2006	19/06/2006	-	$680,000	1055m	Full transfer	-	-	-	-	-	$680,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	302001	42 Kinloch Circuit	30/09/2006	05/12/2006	-	$635,000	480m	Full transfer	-	-	-	-	-	$635,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	35096	54/29 Thynne Street	19/12/2006	05/06/2007	-	$600,000	27427m	Full transfer	-	-	-	-	-	$600,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	165927	48/29 Thynne Street	11/05/2006	07/08/2007	-	$595,000	27427m	Full transfer	-	-	-	-	-	$595,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	35134	50/29 Thynne Street	12/04/2006	05/06/2007	-	$590,000	27427m	Full transfer	-	-	-	-	-	$590,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	164819	1/7 Mugglestone Place	06/06/2006	09/10/2006	15/05/2006	$585,000	8167m	Full transfer	4	1	1	2	-	$585,000	22	-	Combined Record	-	-	-	Multiple unit dwelling	-	-
2006	165558	7 Linke Crescent	24/11/2006	31/01/2007	-	$585,000	516m	Full transfer	-	-	-	-	-	$585,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	203064	13 Erdos Street	13/11/2006	03/01/2007	-	$576,500	551m	Full transfer	-	-	-	-	-	$576,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	35294	49/29 Thynne Street	23/05/2006	04/06/2007	-	$575,000	27427m	Full transfer	-	-	-	-	-	$575,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	35325	47/29 Thynne Street	04/05/2006	06/06/2007	-	$575,000	27427m	Full transfer	-	-	-	-	-	$575,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	83429	5 Erdos Street	21/11/2006	-	22/06/2006	$575,000	479m	Full transfer	4	1	1	2	-	$575,000	152	-	Allhomes Record	-	-	-	-	$319,000	0.55
2006	34341	8 Lycos Street	10/10/2006	01/12/2006	-	$555,500	572m	Full transfer	-	-	-	-	-	$555,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	34665	47 Kinloch Circuit	14/07/2006	21/08/2006	23/03/2006	$545,000	435m	Full transfer	4	1	1	2	-	$545,000	113	-	Combined Record	-	-	-	Single residential dwelling	$265,000	0.49
2006	231360	45 Kinloch Circuit	08/08/2006	07/11/2007	03/03/2006	$542,500	435m	Full transfer	4	1	1	2	-	$542,500	158	-	Combined Record	-	-	-	Single residential dwelling	$265,000	0.49
2006	37612	9 Erdos Street	28/07/2006	22/10/2006	03/03/2006	$538,000	480m	Full transfer	4	1	1	2	-	$538,000	147	-	Combined Record	-	-	-	Single residential dwelling	$319,000	0.59
2006	203265	45/29 Thynne Street	08/05/2006	01/06/2007	-	$529,000	27427m	Full transfer	-	-	-	-	-	$529,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	35029	46/29 Thynne Street	15/04/2006	05/06/2007	-	$529,000	27427m	Full transfer	-	-	-	-	-	$529,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	203553	1 Kinloch Circuit	18/04/2006	01/09/2006	-	$525,000	493m	Full transfer	-	-	-	-	-	$525,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	164820	5 Kinloch Circuit	08/09/2006	11/10/2006	-	$515,000	334m	Full transfer	-	-	-	-	-	$515,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	165626	7 Kinloch Circuit	26/09/2006	24/11/2006	10/03/2006	$515,000	418m	Full transfer	4	1	2	2	-	$515,000	200	-	Combined Record	-	-	-	Single residential dwelling	$230,000	0.45
2006	207115	6 Lycos Street	03/05/2006	13/06/2006	-	$515,000	480m	Full transfer	-	-	-	-	-	$515,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	207112	11 Erdos Street	24/03/2006	24/05/2006	-	$515,000	480m	Full transfer	-	-	-	-	-	$515,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	203370	4/28 Thynne Street	09/07/2006	11/09/2006	-	$512,500	17691m	Full transfer	-	-	-	-	-	$512,500	-	-	Government Record	-	-	-	Office,professional suite	-	-
2006	207066	35 Kinloch Circuit	24/04/2006	22/06/2006	-	$510,000	435m	Full transfer	-	-	-	-	-	$510,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	207060	41 Kinloch Circuit	01/05/2006	20/06/2006	-	$510,000	435m	Full transfer	-	-	-	-	-	$510,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	34666	37 Kinloch Circuit	09/05/2006	21/08/2006	-	$510,000	435m	Full transfer	-	-	-	-	-	$510,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	207063	39 Kinloch Circuit	03/05/2006	23/06/2006	-	$510,000	435m	Full transfer	-	-	-	-	-	$510,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	207109	7 Erdos Street	24/03/2006	24/05/2006	-	$510,000	480m	Full transfer	-	-	-	-	-	$510,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	207058	43 Kinloch Circuit	21/04/2006	18/05/2006	-	$510,000	435m	Full transfer	-	-	-	-	-	$510,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	202874	38/29 Thynne Street	11/07/2006	15/06/2007	-	$510,000	27427m	Full transfer	-	-	-	-	-	$510,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	33213	2 Lange Place	21/12/2006	26/02/2007	09/11/2006	$500,000	435m	Full transfer	4	1	1	2	-	$500,000	42	-	Combined Record	-	-	-	Single residential dwelling	$220,000	0.44
2006	34667	46 Kinloch Circuit	16/06/2006	22/08/2006	-	$495,000	544m	Full transfer	-	-	-	-	-	$495,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	36156	65 Thynne Street	05/12/2006	06/07/2007	-	$490,000	273m	Full transfer	-	-	-	-	-	$490,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	35327	57 Thynne Street	15/12/2006	06/06/2007	-	$490,000	298m	Full transfer	-	-	-	-	-	$490,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	33133	11 Kinloch Circuit	27/09/2006	04/12/2006	-	$490,000	371m	Full transfer	-	-	-	-	-	$490,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	207087	15 Medlin Street	20/02/2006	15/06/2006	07/10/2005	$487,000	430m	Full transfer	3	1	1	2	-	$487,000	136	-	Combined Record	-	-	-	Single residential dwelling	$261,000	0.54
2006	169332	87 Thynne Street	12/10/2006	22/02/2007	-	$485,000	272m	Full transfer	-	-	-	-	-	$485,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	169124	13 Kinloch Circuit	20/11/2006	09/02/2007	-	$485,000	340m	Full transfer	-	-	-	-	-	$485,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	168027	61 Thynne Street	22/09/2006	17/10/2007	-	$482,500	289m	Full transfer	-	-	-	-	-	$482,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	169434	57 Kinloch Circuit	11/12/2006	21/02/2007	-	$482,500	472m	Full transfer	-	-	-	-	-	$482,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	168026	59 Thynne Street	22/09/2006	17/10/2007	-	$482,500	294m	Full transfer	-	-	-	-	-	$482,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
