Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	169655	12 Purnell Place	23/06/2006	11/12/2006	26/05/2006	$815,000	1561m	Full transfer	5	2	1	3	-	$815,000	28	-	Combined Record	-	-	-	Single residential dwelling	$213,000	0.26
2006	207469	15 Webber Crescent	07/03/2006	07/03/2006	-	$815,000	1539m	Full transfer	-	-	-	-	-	$815,000	-	-	Government Record	-	-	-	Residential	-	-
2006	167203	123 O'Connor Circuit	21/12/2006	10/04/2007	-	$632,000	1449m	Full transfer	-	-	-	-	-	$632,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	203356	32 Tatchell Street	13/10/2006	19/01/2007	21/06/2006	$590,000	741m	Full transfer	4	2	1	2	-	$590,000	114	-	Combined Record	-	-	-	Single residential dwelling	$173,000	0.29
2006	207468	11 Webber Crescent	07/03/2006	07/03/2006	-	$576,000	1366m	Full transfer	-	-	-	-	-	$576,000	-	-	Government Record	-	-	-	Residential	-	-
2006	32900	2 Ince Place	01/11/2006	05/12/2006	-	$565,000	985m	Full transfer	-	-	-	-	-	$565,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	14260	            13 Webber Crescent	07/03/2006	07/03/2006	-	$565,000	875m	Full transfer	-	-	-	-	-	$565,000	-	-	Government Record	-	-	-	Residential	-	-
2006	207304	6 McCaw Place	07/02/2006	05/04/2006	-	$560,100	813m	Full transfer	-	-	-	-	-	$560,100	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	307871	56 O'Connor Circuit	09/11/2006	13/12/2006	-	$560,000	1144m	Full transfer	-	-	-	-	-	$560,000	-	-	Government Record	-	-	-	For residential purposes only	-	-
2006	33141	59 Fidge Street	04/10/2006	05/12/2006	31/08/2006	$530,000	1334m	Full transfer	4	1	1	2	-	$530,000	34	-	Combined Record	-	-	-	Single residential dwelling	$170,000	0.32
2006	318936	29 Mountain Circuit	01/04/2006	01/06/2006	-	$502,000	980m	Full transfer	-	-	-	-	-	$502,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	207312	29 Hollway Street	01/04/2006	18/05/2006	08/03/2006	$495,000	817m	Full transfer	4	1	1	2	-	$495,000	24	-	Combined Record	-	-	-	Single residential dwelling	$186,000	0.38
2006	34265	66 Downard Street	16/10/2006	27/11/2006	26/04/2006	$490,000	811m	Full transfer	4	1	1	2	-	$490,000	173	-	Combined Record	-	-	-	Single residential dwelling	$156,000	0.32
2006	207516	9 Ince Place	01/04/2006	25/05/2006	28/02/2006	$485,000	903m	Full transfer	5	2	1	2	-	$485,000	32	-	Combined Record	-	-	-	Single residential dwelling	$184,000	0.38
2006	169007	6 Tatchell Street	01/12/2006	05/02/2007	25/10/2006	$478,000	802m	Full transfer	4	2	-	3	-	$478,000	37	-	Combined Record	-	-	-	Single residential dwelling	$162,000	0.34
2006	169463	3 Girdlestone Circuit	03/10/2006	13/11/2006	-	$470,000	875m	Full transfer	-	-	-	-	-	$470,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	164823	12 Parfitt Crescent	01/09/2006	12/10/2006	-	$470,000	836m	Full transfer	-	-	-	-	-	$470,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	207226	57 Johnstone Circuit	18/01/2006	13/03/2006	24/11/2005	$463,000	1071m	Full transfer	4	-	2	2	-	$463,000	55	-	Combined Record	-	-	-	Single residential dwelling	$167,000	0.36
2006	37265	29 Must Circuit	16/08/2006	20/09/2006	26/07/2006	$450,000	1003m	Full transfer	4	1	1	2	-	$450,000	21	-	Combined Record	-	-	-	Single residential dwelling	$171,000	0.38
2006	315953	62 Denovan Circuit	28/07/2006	21/09/2006	-	$449,100	806m	Full transfer	-	-	-	-	-	$449,100	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	169813	65 Mountain Circuit	18/09/2006	13/12/2006	30/08/2006	$435,000	663m	Full transfer	4	1	1	2	-	$435,000	19	-	Combined Record	-	-	-	Single residential dwelling	$161,000	0.37
2006	168188	35 Mountain Circuit	29/06/2006	08/08/2006	-	$435,000	711m	Full transfer	-	-	-	-	-	$435,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	207217	27 Outtrim Avenue	11/04/2006	16/05/2006	-	$435,000	706m	Partial transfer	-	-	-	-	-	$435,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	207517	37 Fidge Street	11/02/2006	12/04/2006	11/01/2006	$427,500	1087m	Full transfer	4	1	1	2	-	$427,500	31	-	Combined Record	-	-	-	Single residential dwelling	$184,000	0.43
2006	207252	36 McKinley Circuit	13/04/2006	23/05/2006	09/02/2006	$425,000	735m	Full transfer	4	1	1	3	-	$425,000	63	-	Combined Record	-	-	-	Single residential dwelling	$136,000	0.32
2006	34126	14 Gurr Street	20/10/2006	29/11/2006	04/08/2006	$425,000	727m	Full transfer	3	1	1	2	-	$425,000	77	-	Combined Record	-	-	-	Single residential dwelling	$153,000	0.36
2006	90914	24 Burtt Crescent	01/12/2006	-	19/10/2006	$415,000	705m	Full transfer	4	1	1	-	2	$415,000	43	-	Allhomes Record	-	-	-	-	$137,000	0.33
2006	165576	54 Must Circuit	08/11/2006	31/01/2007	-	$413,000	962m	Full transfer	-	-	-	-	-	$413,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	306828	38 Parfitt Crescent	09/09/2006	24/11/2006	-	$411,200	796m	Full transfer	-	-	-	-	-	$411,200	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	202394	9 Parfitt Crescent	06/07/2006	02/08/2006	15/06/2006	$410,000	904m	Full transfer	4	1	1	4	-	$410,000	21	-	Combined Record	-	-	-	Single residential dwelling	$166,000	0.4
2006	207265	50 Costello Circuit	22/02/2006	11/05/2006	-	$410,000	847m	Full transfer	-	-	-	-	-	$410,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	202970	5 Parfitt Crescent	04/10/2006	05/01/2007	-	$405,000	907m	Full transfer	-	-	-	-	-	$405,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	318942	29 Andrew Crescent	13/02/2006	23/05/2006	-	$395,000	1065m	Full transfer	-	-	-	-	-	$395,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	318006	21 Beazley Crescent	18/12/2006	16/02/2007	-	$392,000	905m	Full transfer	-	-	-	-	-	$392,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	34391	22 O'Connor Circuit	24/08/2006	25/09/2006	09/06/2006	$392,000	963m	Full transfer	3	1	1	2	-	$392,000	76	-	Combined Record	-	-	-	Single residential dwelling	$162,000	0.41
2006	315613	27 Casey Crescent	15/09/2006	07/11/2006	-	$391,000	673m	Full transfer	-	-	-	-	-	$391,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	318935	2 Mountain Circuit	01/05/2006	12/07/2006	-	$390,000	988m	Full transfer	-	-	-	-	-	$390,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	307156	71 Mountain Circuit	16/06/2006	28/07/2006	-	$390,000	721m	Full transfer	-	-	-	-	-	$390,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	207384	17 Burtt Crescent	03/05/2006	21/07/2006	15/03/2006	$389,900	1180m	Full transfer	3	1	1	2	-	$389,900	49	-	Combined Record	-	-	-	Single residential dwelling	$137,000	0.35
2006	207261	73 Outtrim Avenue	17/02/2006	24/03/2006	-	$387,500	1048m	Full transfer	-	-	-	-	-	$387,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	202393	64 Must Circuit	08/06/2006	02/08/2006	-	$387,000	750m	Full transfer	-	-	-	-	-	$387,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	207484	43 Phillipson Crescent	12/04/2006	15/06/2006	-	$385,000	828m	Full transfer	-	-	-	-	-	$385,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	207509	58 Downard Street	22/05/2006	05/07/2006	-	$385,000	768m	Full transfer	-	-	-	-	-	$385,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	202962	25 Must Circuit	31/10/2006	05/01/2007	-	$385,000	885m	Full transfer	-	-	-	-	-	$385,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	203557	14 Denovan Circuit	13/07/2006	28/08/2006	31/05/2006	$385,000	647m	Full transfer	4	1	1	2	-	$385,000	43	-	Combined Record	-	-	-	Single residential dwelling	$161,000	0.42
2006	169154	19 Outtrim Avenue	30/11/2006	20/02/2007	-	$381,000	711m	Full transfer	-	-	-	-	-	$381,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	207266	64 Costello Circuit	10/05/2006	27/06/2006	21/03/2006	$376,000	764m	Full transfer	4	1	1	2	-	$376,000	50	-	Combined Record	-	-	-	Single residential dwelling	$136,000	0.36
2006	207277	12 Casey Crescent	04/04/2006	18/05/2006	26/11/2005	$375,000	690m	Full transfer	4	1	1	2	-	$375,000	129	-	Combined Record	-	-	-	Single residential dwelling	$135,000	0.36
2006	330728	51 Downard Street	22/04/2006	03/08/2006	-	$375,000	907m	Full transfer	-	-	-	-	-	$375,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	318928	43 Girdlestone Circuit	28/03/2006	11/05/2006	-	$373,000	747m	Full transfer	-	-	-	-	-	$373,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	207316	20 Denovan Circuit	27/03/2006	10/04/2006	-	$370,000	816m	Full transfer	-	-	-	-	-	$370,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	207230	66 Carter Crescent	01/02/2006	17/03/2006	04/08/2005	$370,000	757m	Full transfer	4	1	1	2	-	$370,000	181	-	Combined Record	-	-	-	Single residential dwelling	$160,000	0.43
2006	318930	51 McKinley Circuit	25/01/2006	04/05/2006	-	$368,000	704m	Full transfer	-	-	-	-	-	$368,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
