Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	203129	42 Vasey Crescent	08/11/2006	04/01/2007	28/09/2006	$1,390,000	1338m	Full transfer	3	1	1	1	-	$1,390,000	41	-	Combined Record	-	-	-	Single residential dwelling	$584,000	0.42
2006	165130	36 Holmes Crescent	02/12/2006	16/02/2007	-	$1,150,000	2086m	Full transfer	-	-	-	-	-	$1,150,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	169764	20 Garsia Street	04/11/2006	13/12/2006	05/10/2006	$960,000	1110m	Full transfer	4	2	1	2	-	$960,000	30	-	Combined Record	-	-	-	Single residential dwelling	$495,000	0.52
2006	207642	32 Vasey Crescent	24/02/2006	05/07/2006	11/11/2005	$950,000	1389m	Full transfer	3	1	2	2	-	$950,000	105	-	Combined Record	-	-	-	Single residential dwelling	$583,000	0.61
2006	169819	8 Garsia Street	28/10/2006	13/12/2006	05/10/2006	$930,000	1604m	Full transfer	4	1	1	-	2	$930,000	23	-	Combined Record	-	-	-	Single residential dwelling	$557,000	0.6
2006	120392	58 Vasey Crescent	22/12/2006	18/05/2007	28/09/2006	$925,000	1466m	Full transfer	5	1	1	2	-	$925,000	85	-	Combined Record	-	-	-	Single residential dwelling	$618,000	0.67
2006	166318	95 Waller Place	22/12/2006	31/07/2007	27/10/2006	$900,000	1221m	Full transfer	4	2	2	2	-	$900,000	56	-	Combined Record	-	-	-	Single residential dwelling	$528,000	0.59
2006	207638	46 Vasey Crescent	03/03/2006	20/06/2006	-	$879,000	1338m	Full transfer	-	-	-	-	-	$879,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	207630	13 Elliott Street	25/01/2006	07/04/2006	-	$875,000	751m	Full transfer	-	-	-	-	-	$875,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	165409	47 Gellibrand Street	04/12/2006	15/02/2007	16/11/2006	$850,000	803m	Full transfer	4	1	1	2	-	$850,000	18	-	Combined Record	-	-	-	Single residential dwelling	$498,000	0.59
2006	32723	3 Coral Place	20/12/2006	29/03/2007	15/11/2006	$795,000	1071m	Full transfer	-	-	-	-	-	$795,000	35	-	Combined Record	-	-	-	Single residential dwelling	$445,000	0.56
2006	34023	58 Rosenthal Street	02/09/2006	18/12/2006	03/08/2006	$780,000	873m	Full transfer	3	1	-	-	2	$780,000	30	-	Combined Record	-	-	-	Single residential dwelling	$516,000	0.66
2006	207658	15 Cobby Street	08/03/2006	13/04/2006	20/01/2006	$780,000	982m	Full transfer	4	1	-	4	-	$780,000	47	-	Combined Record	-	-	-	Single residential dwelling	$550,000	0.71
2006	165632	33 Jacka Crescent	27/10/2006	24/11/2006	29/09/2006	$752,000	636m	Full transfer	5	1	2	2	-	$752,000	28	-	Combined Record	-	-	-	Single residential dwelling	$381,000	0.51
2006	14274	            2/50 Rosenthal Street	30/03/2006	19/04/2006	-	$750,000	1027m	Full transfer	-	-	-	-	-	$750,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	165160	28 Rosenthal Street	19/08/2006	15/02/2007	27/07/2006	$716,000	843m	Full transfer	4	1	1	2	-	$716,000	23	-	Combined Record	-	-	-	Single residential dwelling	$441,000	0.62
2006	168404	19 Holmes Crescent	06/12/2006	25/01/2007	13/11/2006	$715,000	941m	Full transfer	4	2	-	-	1	$715,000	23	-	Combined Record	-	-	-	Single residential dwelling	$538,000	0.75
2006	207546	32 Jacka Crescent	22/04/2006	29/06/2006	21/03/2006	$710,000	975m	Full transfer	4	3	-	2	-	$710,000	32	-	Combined Record	-	-	-	Single residential dwelling	$464,000	0.65
2006	34393	20 Ferdinand Place	19/07/2006	26/09/2006	-	$700,000	1185m	Full transfer	-	-	-	-	-	$700,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	89595	11 Ferdinand Street	01/11/2006	-	04/10/2006	$700,000	818m	Full transfer	3	1	-	1	1	$700,000	28	-	Allhomes Record	-	-	-	-	$516,000	0.74
2006	207692	37 Holmes Crescent	01/03/2006	28/06/2006	10/01/2006	$700,000	1089m	Full transfer	4	2	-	2	-	$700,000	50	-	Combined Record	-	-	-	Single residential dwelling	$550,000	0.79
2006	207667	56 Rosenthal Street	27/05/2006	07/07/2006	27/04/2006	$687,500	873m	Full transfer	3	1	1	-	1	$687,500	30	-	Combined Record	-	-	-	Single residential dwelling	$516,000	0.75
2006	207663	32 Rosenthal Street	18/04/2006	19/06/2006	24/03/2006	$685,000	710m	Full transfer	3	1	1	-	2	$685,000	25	-	Combined Record	-	-	-	Single residential dwelling	$484,000	0.71
2006	79094	5 Watt Street	05/05/2006	-	06/04/2006	$680,000	943m	Full transfer	3	1	1	2	-	$680,000	29	-	Allhomes Record	-	-	-	-	$398,000	0.59
2006	202397	138 Blamey Crescent	05/05/2006	06/08/2006	-	$680,000	943m	Full transfer	-	-	-	-	-	$680,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	203559	2 Page Street	06/06/2006	29/08/2006	19/04/2006	$670,000	471m	Full transfer	3	1	1	-	-	$670,000	48	-	Combined Record	-	-	-	Single residential dwelling	$309,000	0.46
2006	202400	54 Gellibrand Street	20/05/2006	06/08/2006	18/04/2006	$665,000	1206m	Full transfer	3	2	-	-	2	$665,000	32	-	Combined Record	-	-	-	Single residential dwelling	$550,000	0.83
2006	168192	22 Blamey Place	05/07/2006	08/08/2006	-	$660,000	160m	Full transfer	-	-	-	-	-	$660,000	-	-	Government Record	-	-	-	Retail;pers-service,eat & d...	-	-
2006	207710	33 Creswell Street	02/04/2006	30/05/2006	17/12/2005	$660,000	860m	Full transfer	4	1	1	1	-	$660,000	106	-	Combined Record	-	-	-	Single residential dwelling	$415,000	0.63
2006	207575	45 Waller Crescent	06/04/2006	31/07/2006	02/02/2006	$658,500	953m	Full transfer	3	3	1	2	-	$658,500	63	-	Combined Record	-	-	-	Single residential dwelling	$458,000	0.7
2006	162780	27 Patey Street	07/04/2006	14/08/2006	-	$649,000	691m	Full transfer	-	-	-	-	-	$649,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	34392	10 Waller Crescent	02/08/2006	29/09/2006	07/07/2006	$643,000	782m	Full transfer	4	1	1	-	1	$643,000	26	-	Combined Record	-	-	-	Single residential dwelling	$458,000	0.71
2006	168655	49 Cobby Street	26/08/2006	05/10/2006	02/08/2006	$630,000	743m	Full transfer	4	1	-	1	1	$630,000	24	-	Combined Record	-	-	-	Single residential dwelling	$484,000	0.77
2006	207668	29 Ferdinand Street	25/03/2006	23/05/2006	24/02/2006	$627,000	869m	Full transfer	4	1	1	-	2	$627,000	29	-	Combined Record	-	-	-	Single residential dwelling	$516,000	0.82
2006	169735	35 Jacka Crescent	27/10/2006	12/12/2006	11/08/2006	$625,000	833m	Full transfer	5	1	2	1	-	$625,000	77	-	Combined Record	-	-	-	Single residential dwelling	$415,000	0.66
