Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2007	21568	             Mobile Dog Washing Business	22/11/2007	-	07/05/2007	$13,000	-	Full transfer	-	-	-	-	-	$13,000	199	-	Allhomes Record	-	-	-	-	-	-
2007	4591	             Black Pepper Cafe	28/05/2007	-	19/09/2006	-	-	Full transfer	-	-	-	-	-	-	251	-	Allhomes Record	-	-	-	-	-	-
2007	5956	             Restaurant Griffith Shops	19/07/2007	-	07/12/2006	-	-	Full transfer	-	-	-	-	-	-	224	-	Allhomes Record	-	-	-	-	-	-
2008	21995	             You Don't Need To Be Gordon Ramsay To Own This Restaurant.....	08/08/2008	-	28/05/2008	$180,000	-	Full transfer	-	2	-	-	-	$180,000	72	-	Allhomes Record	-	-	-	-	-	-
2008	22268	             Gift & Jewellery Shop	07/03/2008	-	22/11/2007	$21,500	-	Full transfer	-	-	-	-	-	$21,500	106	-	Allhomes Record	-	-	-	-	-	-
2009	139251	             Aroma Cafe Bar	24/11/2009	-	04/08/2009	$365,000	-	Full transfer	-	-	-	-	-	$365,000	112	-	Allhomes Record	-	-	-	-	-	-
2009	23604	             City Walk Cafe	27/07/2009	-	22/07/2009	$200,000	-	Full transfer	-	-	-	-	-	$200,000	5	-	Allhomes Record	-	-	-	-	-	-
2009	23488	             My Coffee Cup	25/06/2009	-	19/03/2009	$195,000	-	Full transfer	-	-	-	-	-	$195,000	98	-	Allhomes Record	-	-	-	-	-	-
2009	21347	             Synthetic Lawn And Turf Business.	01/03/2009	-	17/07/2008	$185,000	-	Full transfer	-	-	-	-	-	$185,000	227	-	Allhomes Record	-	-	-	-	-	-
2009	256275	             Wet-Seal - Act Franchise	12/10/2009	-	29/10/2008	$110,000	-	Full transfer	-	-	-	-	-	$110,000	348	-	Allhomes Record	-	-	-	-	-	-
