Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	169406	2/1 Pollock Street	20/11/2006	12/12/2006	13/06/2006	$592,000	945m	Full transfer	3	1	1	2	-	$592,000	160	-	Combined Record	-	-	-	Multiple unit dwelling	$270,000	0.46
2006	33170	15 Charteris Crescent	30/10/2006	05/12/2006	-	$580,000	1322m	Full transfer	-	-	-	-	-	$580,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	602	            2/40 Eggleston Crescent	26/05/2006	05/09/2006	-	$555,000	821m	Full transfer	-	-	-	-	-	$555,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	265	            1/1 Pollock Street	20/11/2006	21/12/2006	-	$550,000	945m	Full transfer	-	-	-	-	-	$550,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	277	            2/10 Purser Street	13/09/2006	28/11/2006	-	$540,000	890m	Full transfer	-	-	-	-	-	$540,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	202409	1/2 Pollock Street	26/06/2006	02/08/2006	30/08/2005	$540,000	1027m	Full transfer	3	1	1	1	-	$540,000	300	-	Combined Record	-	-	-	Multiple unit dwelling	$340,000	0.63
2006	229564	1/40 Eggleston Crescent	19/09/2006	25/10/2006	-	$537,500	821m	Full transfer	-	-	-	-	-	$537,500	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	208180	54 MacFarland Crescent	13/05/2006	27/06/2006	03/04/2006	$530,000	769m	Full transfer	4	1	1	2	-	$530,000	40	-	Combined Record	-	-	-	Single residential dwelling	$260,000	0.49
2006	169473	35 Eggleston Crescent	11/09/2006	14/11/2006	-	$500,000	1443m	Full transfer	-	-	-	-	-	$500,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	5265	            2/26A Eggleston Crescent	07/09/2006	31/10/2006	-	$495,000	1007m	Full transfer	-	-	-	-	-	$495,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	208256	103 Eggleston Crescent	27/05/2006	10/07/2006	27/04/2006	$485,000	1039m	Full transfer	6	2	-	1	1	$485,000	30	-	Combined Record	-	-	-	Single residential dwelling	$265,000	0.55
2006	14300	2/36 Medley Street	19/04/2006	21/06/2006	-	$460,000	840m	Full transfer	-	-	-	-	-	$460,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	14299	1/36 Medley Street	17/03/2006	21/04/2006	-	$460,000	840m	Full transfer	-	-	-	-	-	$460,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	229537	25 Allwood Street	14/09/2006	23/10/2006	30/08/2006	$450,000	990m	Full transfer	3	1	-	1	2	$450,000	15	-	Combined Record	-	-	-	Single residential dwelling	$290,000	0.64
2006	202408	2 Thomson Street	18/05/2006	31/07/2006	01/07/2005	$435,000	1022m	Full transfer	3	1	-	-	1	$435,000	321	-	Combined Record	-	-	-	Single residential dwelling	$239,000	0.55
2006	164827	124 Eggleston Crescent	24/08/2006	13/10/2006	11/08/2006	$431,000	925m	Full transfer	4	1	-	2	1	$431,000	13	-	Combined Record	-	-	-	Single residential dwelling	$239,000	0.55
2006	34309	7 Pollock Street	20/10/2006	29/11/2006	-	$425,000	769m	Full transfer	-	-	-	-	-	$425,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	34677	15 Threlfall Street	08/07/2006	23/08/2006	09/06/2006	$425,000	1330m	Full transfer	3	1	-	1	-	$425,000	29	-	Combined Record	-	-	-	Single residential dwelling	$306,000	0.72
2006	169472	56 MacFarland Crescent	04/09/2006	13/11/2006	-	$425,000	1006m	Full transfer	-	-	-	-	-	$425,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	14297	            1/22 Threlfall Street	02/02/2006	21/02/2006	-	$419,300	867m	Full transfer	-	-	-	-	-	$419,300	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	9389	            2/129A Eggleston Crescent	21/06/2006	14/08/2006	-	$415,000	845m	Full transfer	-	-	-	-	-	$415,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	208251	1/129A Eggleston Crescent	03/05/2006	23/05/2006	-	$415,000	845m	Full transfer	-	-	-	-	-	$415,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	169720	33 Gledden Street	12/10/2006	11/12/2006	05/10/2006	$413,000	890m	Full transfer	3	1	-	1	-	$413,000	7	-	Combined Record	-	-	-	Single residential dwelling...	$302,000	0.73
