Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	208427	11 Florence Fuller Crescent	10/04/2006	31/07/2006	-	$1,850,000	10198m	Full transfer	-	-	-	-	-	$1,850,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	208901	12 Sidney Nolan Street	24/03/2006	23/05/2006	-	$1,760,000	1506m	Full transfer	-	-	-	-	-	$1,760,000	-	-	Government Record	-	-	-	Business agency	-	-
2006	169479	22 Freeman Street	28/07/2006	13/11/2006	-	$700,000	895m	Full transfer	-	-	-	-	-	$700,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	315614	25 Freeman Street	23/08/2006	07/11/2006	-	$658,000	1121m	Full transfer	-	-	-	-	-	$658,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	165349	3 Kallista Place	20/11/2006	14/02/2007	27/06/2006	$645,000	890m	Full transfer	6	1	1	3	-	$645,000	146	-	Combined Record	-	-	-	Single residential dwelling	$193,000	0.3
2006	203573	8 Florence Fuller Crescent	21/07/2006	31/08/2006	-	$640,000	1403m	Full transfer	-	-	-	-	-	$640,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	319039	7 Aldor Green	23/01/2006	01/03/2006	-	$625,000	811m	Full transfer	-	-	-	-	-	$625,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	36549	53 Florence Fuller Crescent	17/07/2006	04/09/2006	-	$625,000	1087m	Full transfer	-	-	-	-	-	$625,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	165298	49 Jane Sutherland Street	27/10/2006	16/02/2007	-	$620,000	982m	Full transfer	-	-	-	-	-	$620,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	88144	2 Kallista Place	15/11/2006	-	11/09/2006	$620,000	982m	Full transfer	4	1	1	4	-	$620,000	65	-	Allhomes Record	-	-	-	-	$175,000	0.28
2006	165181	5 Kallista Place	27/10/2006	16/02/2007	14/07/2006	$612,000	910m	Full transfer	4	1	1	2	-	$612,000	105	-	Combined Record	-	-	-	Single residential dwelling	$216,000	0.35
2006	203042	15 Montgomery Place	21/11/2006	05/01/2007	-	$600,000	724m	Full transfer	-	-	-	-	-	$600,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	34356	73 Charterisville Avenue	11/09/2006	28/11/2006	-	$595,000	780m	Full transfer	-	-	-	-	-	$595,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	165251	51 Jane Sutherland Street	06/12/2006	14/02/2007	26/07/2006	$583,000	909m	Full transfer	5	1	1	3	-	$583,000	133	-	Combined Record	-	-	-	Single residential dwelling	$172,000	0.3
2006	318329	26 Jane Sutherland Street	20/11/2006	19/02/2007	-	$580,000	865m	Full transfer	-	-	-	-	-	$580,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	208936	4 Coffey Place	31/01/2006	05/04/2006	-	$567,500	1016m	Full transfer	-	-	-	-	-	$567,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	208717	7 Freeman Street	17/03/2006	19/06/2006	-	$567,000	1179m	Full transfer	-	-	-	-	-	$567,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	209018	9 Montgomery Place	27/01/2006	24/03/2006	-	$557,500	684m	Full transfer	-	-	-	-	-	$557,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	208708	23 Freeman Street	03/05/2006	25/05/2006	-	$550,000	961m	Full transfer	-	-	-	-	-	$550,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	209085	23 Emanuel Place	14/05/2006	07/07/2006	-	$550,000	1048m	Full transfer	-	-	-	-	-	$550,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	209078	9 Emanuel Place	24/02/2006	11/05/2006	-	$540,000	829m	Full transfer	-	-	-	-	-	$540,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	37579	7 Muskett Place	08/09/2006	22/10/2006	-	$530,000	811m	Full transfer	-	-	-	-	-	$530,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	208954	15 Eaglemont Retreat	10/03/2006	10/05/2006	-	$525,000	1226m	Full transfer	-	-	-	-	-	$525,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	209074	14 Freeman Street	03/03/2006	30/05/2006	-	$520,000	722m	Full transfer	-	-	-	-	-	$520,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	208949	31 Barringer Street	23/01/2006	09/03/2006	05/10/2005	$520,000	1133m	Full transfer	4	1	1	2	-	$520,000	110	-	Combined Record	-	-	-	Single residential dwelling	$137,000	0.26
2006	166966	17 Emanuel Place	25/05/2006	25/07/2006	-	$520,000	1133m	Full transfer	-	-	-	-	-	$520,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	202417	61 Charterisville Avenue	13/06/2006	02/08/2006	26/04/2006	$517,000	925m	Full transfer	4	1	1	2	-	$517,000	48	-	Combined Record	-	-	-	Single residential dwelling	$220,000	0.43
2006	35905	14 Freeman Street	18/11/2006	08/01/2007	-	$505,000	722m	Full transfer	-	-	-	-	-	$505,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	208922	38 Jane Sutherland Street	05/04/2006	05/07/2006	-	$502,685	824m	Full transfer	-	-	-	-	-	$502,685	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	168201	76 Jane Sutherland Street	29/06/2006	08/08/2006	-	$500,000	805m	Full transfer	-	-	-	-	-	$500,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	34691	12 Whiteley Street	29/06/2006	24/08/2006	-	$490,000	701m	Full transfer	-	-	-	-	-	$490,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	33135	103 Templestowe Avenue	13/10/2006	04/12/2006	-	$490,000	746m	Full transfer	-	-	-	-	-	$490,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	35706	7 Veal Place	10/11/2006	11/01/2007	-	$489,000	1011m	Full transfer	-	-	-	-	-	$489,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	169277	9 Muskett Place	22/12/2006	22/02/2007	11/10/2006	$484,000	924m	Full transfer	4	1	1	2	-	$484,000	72	-	Combined Record	-	-	-	Single residential dwelling	$187,000	0.39
2006	119993	12 Handasyde Street	21/12/2006	02/04/2007	03/10/2006	$480,000	950m	Full transfer	4	1	1	2	-	$480,000	79	-	Combined Record	-	-	-	Single residential dwelling	$181,000	0.38
2006	209114	89 Charterisville Avenue	11/04/2006	17/05/2006	-	$480,000	801m	Full transfer	-	-	-	-	-	$480,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	119504	15/1 Templestowe Avenue	20/09/2006	01/11/2006	-	$475,000	8070m	Full transfer	-	-	-	-	-	$475,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	208912	74 Jane Sutherland Street	12/04/2006	26/05/2006	-	$472,000	805m	Full transfer	-	-	-	-	-	$472,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	319022	15 Hinton Place	27/03/2006	15/05/2006	-	$472,000	1005m	Full transfer	-	-	-	-	-	$472,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	318316	18 Handasyde Street	12/12/2006	21/02/2007	-	$472,000	849m	Full transfer	-	-	-	-	-	$472,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	318348	38 Jane Price Crescent	27/10/2006	12/12/2006	-	$470,000	1010m	Full transfer	-	-	-	-	-	$470,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	119711	14/1 Templestowe Avenue	05/09/2006	31/10/2006	-	$470,000	8070m	Full transfer	-	-	-	-	-	$470,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	34402	13/1 Templestowe Avenue	26/09/2006	29/09/2006	-	$470,000	8070m	Full transfer	-	-	-	-	-	$470,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
