Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	203578	7 Bussell Crescent	04/08/2006	31/08/2006	-	$692,500	967m	Full transfer	-	-	-	-	-	$692,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	36550	28 Cook Place	04/08/2006	05/09/2006	-	$590,000	479m	Full transfer	-	-	-	-	-	$590,000	-	-	Government Record	-	-	-	Retail	-	-
2006	168664	57 Mackellar Crescent	11/08/2006	05/10/2006	20/07/2006	$520,000	1094m	Full transfer	3	2	-	2	-	$520,000	22	-	Combined Record	-	-	-	Single residential dwelling	$317,000	0.61
2006	209165	64 Templeton Street	15/02/2006	31/03/2006	28/01/2006	$510,000	804m	Full transfer	4	-	-	2	-	$510,000	18	-	Combined Record	-	-	-	Single residential dwelling	$241,000	0.47
2006	165652	74 Mackellar Crescent	17/07/2006	20/11/2006	-	$500,000	851m	Partial transfer	-	-	-	-	-	$500,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	165651	21 Dwyer Street	13/10/2006	20/11/2006	-	$475,000	719m	Full transfer	-	-	-	-	-	$475,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	165328	48 Redfern Street	27/11/2006	15/02/2007	-	$475,000	797m	Full transfer	-	-	-	-	-	$475,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	165223	40 Templeton Street	13/12/2006	16/02/2007	-	$473,000	732m	Full transfer	-	-	-	-	-	$473,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	229524	21 Booth Crescent	24/08/2006	23/10/2006	13/07/2006	$471,000	849m	Full transfer	4	2	-	2	-	$471,000	42	-	Combined Record	-	-	-	Single residential dwelling	$294,000	0.62
2006	37604	87 Mackellar Crescent	01/09/2006	19/10/2006	14/08/2006	$470,000	914m	Full transfer	4	1	1	2	-	$470,000	18	-	Combined Record	-	-	-	Single residential dwelling	$287,000	0.61
2006	209153	31 Skinner Street	07/03/2006	30/05/2006	20/01/2006	$460,000	737m	Full transfer	4	2	-	1	-	$460,000	46	-	Combined Record	-	-	-	Single residential dwelling	$255,000	0.55
2006	209164	21 Henry Street	24/02/2006	05/04/2006	13/01/2006	$450,000	737m	Full transfer	4	1	1	-	2	$450,000	42	-	Combined Record	-	-	-	Single residential dwelling	$235,000	0.52
2006	34694	42 Henry Street	06/07/2006	25/08/2006	06/06/2006	$443,000	1093m	Full transfer	4	1	1	-	2	$443,000	30	-	Combined Record	-	-	-	Single residential dwelling	$269,000	0.61
2006	165236	3 Moss Street	21/12/2006	16/02/2007	-	$440,000	682m	Full transfer	-	-	-	-	-	$440,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	65944	82 Wybalena Grove	24/03/2006	-	15/09/2005	$435,000	-	Full transfer	4	1	1	-	1	$435,000	190	-	Allhomes Record	-	-	-	-	$9,760,000	22.44
2006	14472	            82/1 Wybalena Grove	24/03/2006	11/05/2006	-	$435,000	114795m	Full transfer	-	-	-	-	-	$435,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	209194	78 Mackellar Crescent	30/03/2006	03/05/2006	02/02/2006	$412,500	719m	Full transfer	3	1	1	-	-	$412,500	56	-	Combined Record	-	-	-	Single residential dwelling	$255,000	0.62
2006	168421	13 Clisby Close	12/11/2006	23/01/2007	19/10/2006	$397,000	929m	Full transfer	3	1	-	1	1	$397,000	24	-	Combined Record	-	-	-	Single residential dwelling	$237,000	0.6
2006	229478	54 Lyttleton Crescent	28/08/2006	26/10/2006	02/08/2006	$394,000	811m	Full transfer	3	1	-	1	-	$394,000	26	-	Combined Record	-	-	-	Single residential dwelling	$215,000	0.55
2006	34312	20 Vickery Street	06/09/2006	30/11/2006	16/08/2006	$391,000	737m	Full transfer	3	1	-	2	-	$391,000	21	-	Combined Record	-	-	-	Single residential dwelling	$230,000	0.59
2006	209172	8 Oakes Street	19/06/2006	20/07/2006	24/03/2006	$387,550	805m	Full transfer	3	1	1	-	2	$387,550	87	-	Combined Record	-	-	-	Single residential dwelling	$253,000	0.65
2006	169232	20 Grylls Crescent	19/12/2006	21/02/2007	08/12/2006	$380,000	826m	Full transfer	3	1	-	1	-	$380,000	11	-	Combined Record	-	-	-	Single residential dwelling	$210,000	0.55
2006	34693	1 Clisby Close	11/08/2006	22/08/2006	-	$380,000	1085m	Full transfer	-	-	-	-	-	$380,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	209214	37 Biffin Street	29/03/2006	10/05/2006	01/03/2006	$380,000	989m	Full transfer	3	1	1	-	2	$380,000	28	-	Combined Record	-	-	-	Single residential dwelling	$235,000	0.62
2006	14464	            70/1 Wybalena Grove	02/03/2006	11/04/2006	-	$375,000	114795m	Full transfer	-	-	-	-	-	$375,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	75392	70 Wybalena Grove	02/03/2006	-	10/02/2006	$375,000	-	Full transfer	3	1	-	-	-	$375,000	20	-	Allhomes Record	-	-	-	-	$9,760,000	26.03
2006	203577	2 Clisby Close	21/06/2006	29/08/2006	12/05/2006	$370,000	1074m	Full transfer	3	1	-	1	-	$370,000	40	-	Combined Record	-	-	-	Single residential dwelling	$235,000	0.64
2006	14463	            66/1 Wybalena Grove	28/02/2006	13/04/2006	-	$370,000	114795m	Full transfer	-	-	-	-	-	$370,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	90587	30 Teague Street	15/12/2006	-	17/10/2006	$365,000	-	Full transfer	3	1	1	2	-	$365,000	59	-	Allhomes Record	-	-	-	-	$1,236,000	3.39
2006	9617	            6/138 Dexter Street	15/12/2006	31/01/2007	-	$365,000	6577m	Full transfer	-	-	-	-	-	$365,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	209287	9 Cross Street	04/04/2006	11/05/2006	-	$360,000	585m	Full transfer	-	-	-	-	-	$360,000	-	-	Government Record	-	-	-	Medium density dwelling	-	-
2006	209177	72 Templeton Street	27/03/2006	15/06/2006	08/11/2005	$355,000	309m	Full transfer	3	1	1	1	-	$355,000	139	-	Combined Record	-	-	-	Medium density dwelling	$144,000	0.41
2006	78434	18 Wybalena Grove	02/08/2006	-	28/03/2006	$352,500	-	Full transfer	2	1	-	-	1	$352,500	127	-	Allhomes Record	-	-	-	-	$9,760,000	27.69
2006	9523	            18/1 Wybalena Grove	02/08/2006	10/10/2006	-	$352,500	114795m	Full transfer	-	-	-	-	-	$352,500	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	14452	            45/1 Wybalena Grove	29/03/2006	23/05/2006	-	$349,000	114795m	Full transfer	-	-	-	-	-	$349,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	88783	130 Dexter Street	25/10/2006	-	19/09/2006	$335,000	-	Full transfer	3	1	1	-	2	$335,000	36	-	Allhomes Record	-	-	-	-	$867,000	2.59
2006	209139	35 Atkinson Street	11/02/2006	10/05/2006	-	$335,000	673m	Full transfer	-	-	-	-	-	$335,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	209200	7 Biffin Street	02/03/2006	02/05/2006	09/02/2006	$333,000	694m	Full transfer	4	1	-	2	-	$333,000	21	-	Combined Record	-	-	-	Single residential dwelling	$200,000	0.6
2006	71354	45 Wybalena Grove	29/03/2006	-	25/11/2005	$331,550	-	Full transfer	2	1	-	-	1	$331,550	124	-	Allhomes Record	-	-	-	-	$9,760,000	29.44
2006	299	            5/122 Dexter Street	07/08/2006	26/09/2006	-	$324,000	5078m	Full transfer	-	-	-	-	-	$324,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	9390	            54/1 Wybalena Grove	22/06/2006	14/08/2006	-	$322,250	114795m	Full transfer	-	-	-	-	-	$322,250	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	81288	54 Wybalena Grove	27/06/2006	-	18/05/2006	$320,000	-	Full transfer	2	1	-	-	-	$320,000	40	-	Allhomes Record	-	-	-	-	$9,760,000	30.5
2006	483128	3 Kumm Place	15/08/2006	09/08/2016	-	$320,000	398m	Full transfer	-	-	-	-	-	$320,000	-	-	Government Record	-	-	-	Medium density dwelling	-	-
