Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2009	354107	37 Vandyke Street	24/12/2009	10/01/2012	-	$636,000	315m	Full transfer	-	-	-	-	-	$636,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	349855	45 Narden Street	23/09/2009	16/12/2011	-	$548,000	240m	Full transfer	-	-	-	-	-	$548,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	354406	4 Ultimo Street	08/12/2009	21/12/2011	-	$511,000	357m	Full transfer	-	-	-	-	-	$511,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	344213	142 Narden Street	22/12/2009	20/10/2011	-	$461,500	210m	Full transfer	-	-	-	-	-	$461,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	270074	29 Errol Street	22/09/2009	11/08/2010	-	$438,000	294m	Full transfer	-	-	-	-	-	$438,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	354410	14 Ultimo Street	07/12/2009	20/12/2011	-	$438,000	240m	Full transfer	-	-	-	-	-	$438,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	342160	47 Narden Street	25/09/2009	13/10/2011	-	$435,500	240m	Full transfer	-	-	-	-	-	$435,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	291783	4 Parilla Street	05/11/2009	20/04/2011	-	$434,000	294m	Full transfer	-	-	-	-	-	$434,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	359819	26 Ultimo Street	04/12/2009	30/01/2012	-	$431,000	263m	Full transfer	-	-	-	-	-	$431,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	300501	11 Vandyke Street	20/11/2009	11/07/2011	-	$427,000	270m	Full transfer	-	-	-	-	-	$427,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	347680	130 Narden Street	09/12/2009	03/11/2011	-	$427,000	240m	Full transfer	-	-	-	-	-	$427,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	270072	18 Dobikin Street	21/07/2009	11/08/2010	-	$425,500	294m	Full transfer	-	-	-	-	-	$425,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	283700	5 Narden Street	07/07/2009	22/02/2011	-	$420,500	255m	Full transfer	-	-	-	-	-	$420,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	277437	9 Narden Street	24/07/2009	19/01/2011	-	$419,500	240m	Full transfer	-	-	-	-	-	$419,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	300103	37 Narden Street	19/11/2009	06/07/2011	-	$419,000	210m	Full transfer	-	-	-	-	-	$419,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	344219	27 Vandyke Street	11/12/2009	18/10/2011	-	$386,000	180m	Full transfer	-	-	-	-	-	$386,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	344217	8 Zanci Street	15/12/2009	21/10/2011	-	$375,000	180m	Full transfer	-	-	-	-	-	$375,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	342186	14 Zanci Street	15/12/2009	12/10/2011	-	$345,000	180m	Full transfer	-	-	-	-	-	$345,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	300503	111 Narden Street	23/09/2009	11/07/2011	-	$336,500	180m	Full transfer	-	-	-	-	-	$336,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	340332	25 Vandyke Street	18/12/2009	28/09/2011	-	$332,000	180m	Full transfer	-	-	-	-	-	$332,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	349854	18 Ultimo Street	18/12/2009	13/12/2011	-	$332,000	180m	Full transfer	-	-	-	-	-	$332,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	286029	6 Parilla Street	07/07/2009	15/03/2011	-	$329,500	180m	Full transfer	-	-	-	-	-	$329,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	342185	136 Narden Street	11/12/2009	11/10/2011	-	$321,000	135m	Full transfer	-	-	-	-	-	$321,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	291771	5 Taplow Street	07/07/2009	03/05/2011	-	$320,000	180m	Full transfer	-	-	-	-	-	$320,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	285918	13 Taplow Street	30/06/2009	11/03/2011	-	$320,000	180m	Full transfer	-	-	-	-	-	$320,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	275730	16 Taplow Street	30/06/2009	13/01/2011	-	$320,000	180m	Full transfer	-	-	-	-	-	$320,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	286031	19 Taplow Street	30/06/2009	18/03/2011	-	$320,000	180m	Full transfer	-	-	-	-	-	$320,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	285890	21 Taplow Street	30/06/2009	18/03/2011	-	$320,000	180m	Full transfer	-	-	-	-	-	$320,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	286030	15 Taplow Street	30/06/2009	18/03/2011	-	$320,000	180m	Full transfer	-	-	-	-	-	$320,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	354727	41 Vandyke Street	15/12/2009	03/01/2012	-	$318,000	135m	Full transfer	-	-	-	-	-	$318,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	344214	134 Narden Street	15/10/2009	18/10/2011	-	$315,000	135m	Full transfer	-	-	-	-	-	$315,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	270003	13 Errol Street	09/04/2009	27/07/2010	-	$315,000	180m	Full transfer	-	-	-	-	-	$315,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	344216	20 Zanci Street	15/12/2009	20/10/2011	-	$315,000	135m	Full transfer	-	-	-	-	-	$315,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	300105	41 Narden Street	19/11/2009	06/07/2011	-	$312,000	135m	Full transfer	-	-	-	-	-	$312,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	300104	39 Narden Street	19/11/2009	06/07/2011	-	$312,000	135m	Full transfer	-	-	-	-	-	$312,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	300106	51 Narden Street	19/11/2009	06/07/2011	-	$312,000	135m	Full transfer	-	-	-	-	-	$312,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	300032	49 Narden Street	19/11/2009	06/07/2011	-	$312,000	135m	Full transfer	-	-	-	-	-	$312,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2009	300091	107 Narden Street	19/11/2009	05/07/2011	-	$312,000	135m	Full transfer	-	-	-	-	-	$312,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
