Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2015	481374	44 Wyndham Avenue	17/10/2015	12/07/2016	-	$560,000	794m	Full transfer	-	-	-	-	-	$560,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2015	481888	42 Wyndham Avenue	17/10/2015	19/07/2016	-	$555,000	802m	Full transfer	-	-	-	-	-	$555,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2015	487390	10 Jamrozik Street	04/11/2015	29/09/2016	-	$555,000	545m	Full transfer	-	-	-	-	-	$555,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2015	488289	28 Bielski Street	17/10/2015	07/10/2016	-	$545,000	805m	Full transfer	-	-	-	-	-	$545,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2015	484697	18 Temple Terrace	17/10/2015	19/08/2016	-	$541,000	802m	Full transfer	-	-	-	-	-	$541,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2015	481172	4 Temple Terrace	17/10/2015	07/07/2016	-	$539,000	748m	Full transfer	-	-	-	-	-	$539,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2015	521251	5 Bertie Close	17/10/2015	05/12/2017	-	$535,000	600m	Full transfer	-	-	-	-	-	$535,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2015	482135	16 Temple Terrace	17/10/2015	21/07/2016	-	$533,000	794m	Full transfer	-	-	-	-	-	$533,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2015	484664	34 Batterham Crescent	17/10/2015	19/08/2016	-	$530,000	618m	Full transfer	-	-	-	-	-	$530,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2015	484742	7 Bertie Close	17/10/2015	24/08/2016	-	$530,000	600m	Full transfer	-	-	-	-	-	$530,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2015	481302	11 Goldbloom Street	17/10/2015	12/07/2016	-	$521,000	646m	Full transfer	-	-	-	-	-	$521,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2015	481901	9 Goldbloom Street	17/10/2015	20/07/2016	-	$520,000	651m	Full transfer	-	-	-	-	-	$520,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
