Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	202933	24 Andamooka Street	14/10/2006	05/01/2007	14/09/2006	$685,000	1971m	Full transfer	4	1	1	2	-	$685,000	30	-	Combined Record	-	-	-	Single residential dwelling	$339,000	0.49
2006	212372	75 Kambalda Crescent	23/01/2006	27/04/2006	12/01/2006	$670,000	1043m	Full transfer	4	1	1	2	-	$670,000	11	-	Combined Record	-	-	-	Single residential dwelling	$245,000	0.37
2006	35824	93 Kalgoorlie Crescent	27/11/2006	11/01/2007	-	$650,000	1018m	Full transfer	-	-	-	-	-	$650,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	212464	28 Andamooka Street	17/02/2006	15/05/2006	02/02/2006	$650,000	2118m	Full transfer	4	2	1	2	-	$650,000	15	-	Combined Record	-	-	-	Single residential dwelling	$330,000	0.51
2006	90191	2 Eleanora Street	27/11/2006	-	11/10/2006	$650,000	1017m	Full transfer	4	1	1	2	-	$650,000	47	-	Allhomes Record	-	-	-	-	$216,000	0.33
2006	212453	32 Rosebery Street	09/02/2006	20/06/2006	18/11/2005	$645,000	1407m	Full transfer	5	2	1	4	-	$645,000	83	-	Combined Record	-	-	-	Single residential dwelling	$308,000	0.48
2006	168676	27 Andamooka Street	29/08/2006	05/10/2006	-	$580,000	951m	Full transfer	-	-	-	-	-	$580,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	212454	22 Kapunda Street	03/05/2006	07/06/2006	27/01/2006	$555,000	1112m	Full transfer	5	1	2	3	-	$555,000	96	-	Combined Record	-	-	-	Single residential dwelling	$285,000	0.51
2006	212429	40 Rosebery Street	18/05/2006	20/06/2006	11/05/2006	$550,000	1010m	Full transfer	4	1	1	-	2	$550,000	7	-	Combined Record	-	-	-	Single residential dwelling	$283,000	0.51
2006	211858	10 Bulli Place	07/02/2006	17/05/2006	-	$521,250	1034m	Full transfer	-	-	-	-	-	$521,250	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	33205	77 Rossarden Street	08/12/2006	01/03/2007	13/11/2006	$500,000	705m	Full transfer	4	1	1	2	2	$500,000	25	-	Combined Record	-	-	-	Single residential dwelling	$210,000	0.42
2006	32624	10 Ardlethan Street	04/08/2006	27/03/2007	-	$500,000	1042m	Full transfer	-	-	-	-	-	$500,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	202445	4/65 Kambalda Crescent	22/06/2006	06/08/2006	-	$493,000	7198m	Full transfer	-	-	-	-	-	$493,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	203113	80 Kambalda Crescent	19/09/2006	05/01/2007	21/08/2006	$485,000	863m	Full transfer	4	1	1	1	-	$485,000	29	-	Combined Record	-	-	-	Single residential dwelling	$232,000	0.48
2006	212384	5 Clermont Street	31/03/2006	25/05/2006	10/03/2006	$480,000	770m	Full transfer	4	1	1	2	-	$480,000	21	-	Combined Record	-	-	-	Single residential dwelling	$210,000	0.44
2006	169393	5 Avoca Place	30/11/2006	22/02/2007	-	$475,000	403m	Full transfer	-	-	-	-	-	$475,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	169505	43 Maranboy Street	31/08/2006	17/11/2006	22/05/2006	$470,000	752m	Full transfer	6	2	1	1	-	$470,000	101	-	Combined Record	-	-	-	Single residential dwelling	$232,000	0.49
2006	211854	17 Nullagine Street	24/02/2006	21/04/2006	-	$465,000	871m	Full transfer	-	-	-	-	-	$465,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	165247	24 Rosebery Street	09/11/2006	14/02/2007	02/09/2006	$461,000	923m	Full transfer	4	1	1	-	4	$461,000	68	-	Combined Record	-	-	-	Single residential dwelling	$276,000	0.6
2006	212436	8 Coobina Place	05/04/2006	23/05/2006	-	$460,000	707m	Full transfer	-	-	-	-	-	$460,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	34723	61 Ballarat Street	29/06/2006	22/08/2006	14/06/2006	$455,000	806m	Full transfer	3	2	1	3	-	$455,000	15	-	Combined Record	-	-	-	Single residential dwelling	$252,000	0.55
2006	169034	5 Nannine Place	18/10/2006	05/02/2007	-	$455,000	754m	Full transfer	-	-	-	-	-	$455,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	168232	13 Eleanora Street	28/06/2006	08/08/2006	08/06/2006	$440,000	940m	Full transfer	3	1	1	4	-	$440,000	20	-	Combined Record	-	-	-	Single residential dwelling	$226,000	0.51
2006	212335	6 Kalgoorlie Crescent	21/04/2006	05/06/2006	14/11/2005	$440,000	907m	Full transfer	5	2	-	1	-	$440,000	158	-	Combined Record	-	-	-	Single residential dwelling	$245,000	0.56
2006	32132	181 Namatjira Drive	09/11/2006	21/12/2006	27/09/2006	$425,000	1085m	Full transfer	4	1	1	2	-	$425,000	43	-	Combined Record	-	-	-	Single residential dwelling	$210,000	0.49
2006	165110	33 Pandanus Street	06/12/2006	15/02/2007	07/11/2006	$423,000	1046m	Full transfer	3	1	-	4	-	$423,000	29	-	Combined Record	-	-	-	Single residential dwelling	$267,000	0.63
2006	212428	50 Rosebery Street	22/04/2006	31/05/2006	17/03/2006	$420,000	864m	Full transfer	3	1	1	2	-	$420,000	36	-	Combined Record	-	-	-	Single residential dwelling	$252,000	0.6
2006	212334	145 Badimara Street	06/01/2006	14/02/2006	10/11/2005	$418,000	809m	Full transfer	4	1	1	1	1	$418,000	57	-	Combined Record	-	-	-	Single residential dwelling	$214,000	0.51
2006	212416	49 Nullagine Street	10/02/2006	17/03/2006	27/01/2006	$405,000	855m	Full transfer	4	1	1	2	-	$405,000	14	-	Combined Record	-	-	-	Single residential dwelling	$245,000	0.6
2006	169032	95 Kalgoorlie Crescent	23/11/2006	09/02/2007	06/10/2006	$405,000	695m	Full transfer	3	1	-	2	-	$405,000	48	-	Combined Record	-	-	-	Single residential dwelling	$193,000	0.48
2006	212373	31 Kambalda Crescent	19/04/2006	24/05/2006	-	$403,000	1178m	Full transfer	-	-	-	-	-	$403,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	34083	76 Kambalda Crescent	11/11/2006	21/12/2006	-	$395,000	847m	Full transfer	-	-	-	-	-	$395,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
