Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	169133	2 Albany Street	28/09/2006	07/02/2007	-	$6,000,000	5208m	Full transfer	-	-	-	-	-	$6,000,000	-	-	Government Record	-	-	-	Restaurant	-	-
2006	10405	            2/2 Albany Street	28/09/2006	07/02/2007	-	$6,000,000	5208m	Full transfer	-	-	-	-	-	$6,000,000	-	-	Government Record	-	-	-	Restaurant	-	-
2006	409315	            0/2 Albany Street	28/09/2006	07/02/2007	-	$6,000,000	5208m	Full transfer	-	-	-	-	-	$6,000,000	-	-	Government Record	-	-	-	Restaurant	-	-
2006	10404	            1/2 Albany Street	28/09/2006	07/02/2007	-	$6,000,000	5208m	Full transfer	-	-	-	-	-	$6,000,000	-	-	Government Record	-	-	-	Restaurant	-	-
2006	168679	120 Wollongong Street	12/05/2006	05/10/2006	-	$5,000,000	7071m	Full transfer	-	-	-	-	-	$5,000,000	-	-	Government Record	-	-	-	Office,professional suite	-	-
2006	169774	38 Collie Street	29/09/2006	12/12/2006	-	$3,300,000	1333m	Full transfer	-	-	-	-	-	$3,300,000	-	-	Government Record	-	-	-	Shop	-	-
2006	213294	116 Wollongong Street	08/05/2006	21/07/2006	-	$3,200,000	5436m	Full transfer	-	-	-	-	-	$3,200,000	-	-	Government Record	-	-	-	Retail	-	-
2006	213373	64 Collie Street	24/02/2006	15/07/2006	-	$2,035,000	1571m	Full transfer	-	-	-	-	-	$2,035,000	-	-	Government Record	-	-	-	Office	-	-
2006	169030	1/18 Wollongong Street	19/12/2006	09/02/2007	-	$1,850,000	1486m	Full transfer	-	-	-	-	-	$1,850,000	-	-	Government Record	-	-	-	Industry	-	-
2006	169084	2/18 Wollongong Street	19/12/2006	09/02/2007	-	$1,850,000	1486m	Full transfer	-	-	-	-	-	$1,850,000	-	-	Government Record	-	-	-	Industry	-	-
2006	169107	3/18 Wollongong Street	19/12/2006	09/02/2007	-	$1,850,000	1486m	Full transfer	-	-	-	-	-	$1,850,000	-	-	Government Record	-	-	-	Personal service	-	-
2006	169031	4/18 Wollongong Street	19/12/2006	09/02/2007	-	$1,850,000	1486m	Full transfer	-	-	-	-	-	$1,850,000	-	-	Government Record	-	-	-	Shop	-	-
2006	37312	26 Maryborough Street	16/08/2006	22/09/2006	-	$1,650,000	3344m	Full transfer	-	-	-	-	-	$1,650,000	-	-	Government Record	-	-	-	Furniture store	-	-
2006	165585	14 Ipswich Street	22/11/2006	29/01/2007	-	$1,480,000	2318m	Full transfer	-	-	-	-	-	$1,480,000	-	-	Government Record	-	-	-	Office,professional suite	-	-
2006	37313	31 Collie Street	11/09/2006	21/09/2006	-	$1,400,000	1486m	Full transfer	-	-	-	-	-	$1,400,000	-	-	Government Record	-	-	-	Shand goods,antique dealer,...	-	-
2006	213377	7 Wiluna Street	03/03/2006	04/05/2006	-	$1,400,000	4164m	Full transfer	-	-	-	-	-	$1,400,000	-	-	Government Record	-	-	-	Industry	-	-
2006	213234	1 Lyell Street	07/02/2006	26/05/2006	-	$1,350,000	2031m	Full transfer	-	-	-	-	-	$1,350,000	-	-	Government Record	-	-	-	Office,professional suite	-	-
2006	33228	10 Wollongong Street	09/11/2006	28/02/2007	-	$1,350,000	1486m	Full transfer	-	-	-	-	-	$1,350,000	-	-	Government Record	-	-	-	Shop	-	-
2006	119523	64 Barrier Street	19/09/2006	30/10/2006	-	$1,330,000	1674m	Full transfer	-	-	-	-	-	$1,330,000	-	-	Government Record	-	-	-	Industry	-	-
2006	169514	15 Kembla Street	18/09/2006	13/11/2006	-	$1,300,000	1394m	Full transfer	-	-	-	-	-	$1,300,000	-	-	Government Record	-	-	-	Shand goods,antique dealer,...	-	-
2006	13210	            1/39 Collie Street	11/05/2006	02/08/2006	-	$1,250,000	7262m	Full transfer	-	-	-	-	-	$1,250,000	-	-	Government Record	-	-	-	Shand goods,antique dealer,...	-	-
2006	202461	14 Ipswich Street	26/05/2006	04/08/2006	-	$1,250,000	2318m	Full transfer	-	-	-	-	-	$1,250,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	213289	2/39 Collie Street	25/01/2006	15/05/2006	-	$1,237,500	7262m	Full transfer	-	-	-	-	-	$1,237,500	-	-	Government Record	-	-	-	Shand goods,antique dealer,...	-	-
2006	230612	15 Barrier Street	24/05/2006	24/04/2008	-	$1,160,000	10174m	Full transfer	-	-	-	-	-	$1,160,000	-	-	Government Record	-	-	-	Liquid fuel depot	-	-
2006	213205	281 Canberra Avenue	06/03/2006	05/04/2006	-	$1,150,000	2174m	Full transfer	-	-	-	-	-	$1,150,000	-	-	Government Record	-	-	-	Industry	-	-
2006	169515	141 Gladstone Street	26/09/2006	14/11/2006	-	$1,000,000	2044m	Full transfer	-	-	-	-	-	$1,000,000	-	-	Government Record	-	-	-	Retail	-	-
2006	213246	48 Barrier Street	13/04/2006	27/04/2006	-	$1,000,000	1500m	Full transfer	-	-	-	-	-	$1,000,000	-	-	Government Record	-	-	-	Industry	-	-
2006	165482	40 Kembla Street	11/12/2006	02/02/2007	-	$900,000	1394m	Full transfer	-	-	-	-	-	$900,000	-	-	Government Record	-	-	-	Shand goods,antique dealer,...	-	-
2006	169102	27 Isa Street	29/09/2006	08/02/2007	-	$875,000	1951m	Full transfer	-	-	-	-	-	$875,000	-	-	Government Record	-	-	-	Industry	-	-
