Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	5830	            29 Apperly Close	08/12/2006	-	23/11/2006	$910,000	1302m	Full transfer	5	2	2	2	-	$910,000	15	-	Allhomes Record	-	-	-	-	-	-
2007	5245	            73 Mt Vernon Drive	28/03/2007	-	20/10/2006	$915,000	1208m	Full transfer	5	2	1	2	-	$915,000	159	-	Allhomes Record	-	-	-	-	-	-
2007	21761	            21 Winser Crescent	12/05/2007	-	16/04/2007	$875,000	1243m	Full transfer	4	1	1	3	-	$875,000	26	-	Allhomes Record	-	-	-	-	-	-
2007	21741	            15 Lempriere Crescent	05/05/2007	-	10/04/2007	$860,000	966m	Full transfer	4	1	1	2	-	$860,000	25	-	Allhomes Record	-	-	-	-	-	-
2007	21673	            1 Apperly Close	10/03/2007	-	14/02/2007	$842,500	1058m	Full transfer	4	1	2	2	-	$842,500	24	-	Allhomes Record	-	-	-	-	-	-
2007	21637	            6 Naismith Place	21/02/2007	-	24/01/2007	$785,000	1115m	Full transfer	4	1	1	2	-	$785,000	28	-	Allhomes Record	-	-	-	-	-	-
2007	21652	            6 Apperly Close	13/03/2007	-	07/02/2007	$750,000	1190m	Full transfer	4	2	1	2	-	$750,000	34	-	Allhomes Record	-	-	-	-	-	-
2007	21790	            20 Ferrier Place	02/06/2007	-	08/05/2007	$745,000	969m	Full transfer	4	1	1	2	-	$745,000	25	-	Allhomes Record	-	-	-	-	-	-
2007	21760	            91 Mt Vernon Drive	31/07/2007	-	16/04/2007	$720,000	986m	Full transfer	5	2	1	2	1	$720,000	106	-	Allhomes Record	-	-	-	-	-	-
2007	21749	            21 Bolger Place	05/05/2007	-	12/04/2007	$720,000	930m	Full transfer	4	1	1	2	-	$720,000	23	-	Allhomes Record	-	-	-	-	$286,000	0.4
2007	21915	            4 Elanora Place	04/09/2007	-	17/08/2007	$700,000	1030m	Full transfer	4	1	1	2	-	$700,000	18	-	Allhomes Record	-	-	-	-	-	-
