Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	32098	7/171 Bugden Avenue	10/08/2006	09/11/2006	-	$590,000	17216m	Full transfer	-	-	-	-	-	$590,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	168248	5/171 Bugden Avenue	02/06/2006	11/08/2006	-	$586,000	17216m	Full transfer	-	-	-	-	-	$586,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	164865	16/171 Bugden Avenue	19/07/2006	09/10/2006	-	$570,000	17216m	Full transfer	-	-	-	-	-	$570,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	34747	13/171 Bugden Avenue	23/06/2006	24/08/2006	-	$565,000	17216m	Full transfer	-	-	-	-	-	$565,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	214615	3/171 Bugden Avenue	21/02/2006	03/03/2006	-	$565,000	17216m	Full transfer	-	-	-	-	-	$565,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	214617	6/171 Bugden Avenue	09/05/2006	21/07/2006	-	$565,000	17216m	Full transfer	-	-	-	-	-	$565,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	214616	4/171 Bugden Avenue	13/04/2006	19/07/2006	-	$555,000	17216m	Full transfer	-	-	-	-	-	$555,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	214601	12/171 Bugden Avenue	19/04/2006	20/06/2006	-	$540,000	17216m	Full transfer	-	-	-	-	-	$540,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	33026	37 Bruxner Close	22/09/2006	04/12/2006	06/07/2006	$529,000	1310m	Full transfer	4	2	1	2	-	$529,000	78	-	Combined Record	-	-	-	Single residential dwelling	$131,000	0.25
2006	214696	55 Castleton Crescent	23/05/2006	21/06/2006	12/05/2006	$515,000	977m	Full transfer	4	1	1	2	-	$515,000	11	-	Combined Record	-	-	-	Single residential dwelling	$199,000	0.39
2006	164864	3 Towner Place	06/09/2006	10/10/2006	11/08/2006	$495,000	1000m	Full transfer	4	2	-	-	3	$495,000	26	-	Combined Record	-	-	-	Single residential dwelling	$207,000	0.42
2006	319289	15 Dartnell Street	10/02/2006	30/03/2006	-	$480,000	713m	Full transfer	-	-	-	-	-	$480,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	37318	158 Castleton Crescent	09/08/2006	20/09/2006	27/07/2006	$475,000	771m	Full transfer	5	1	1	2	-	$475,000	13	-	Combined Record	-	-	-	Single residential dwelling	$154,000	0.32
2006	214553	7 Towner Place	13/04/2006	20/06/2006	29/03/2006	$472,000	955m	Full transfer	6	2	1	-	2	$472,000	15	-	Combined Record	-	-	-	Single residential dwelling	$139,000	0.29
2006	214584	25 Badcoe Street	22/12/2006	09/02/2006	01/12/2005	$470,000	765m	Full transfer	5	1	2	2	-	$470,000	386	-	Combined Record	-	-	-	Single residential dwelling	$151,000	0.32
2006	318025	5 Wray Place	15/12/2006	15/02/2007	-	$468,000	785m	Full transfer	-	-	-	-	-	$468,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	214604	17/171 Bugden Avenue	21/02/2006	28/03/2006	-	$465,000	17216m	Full transfer	-	-	-	-	-	$465,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	165220	19 Bruxner Close	02/12/2006	16/02/2007	01/11/2006	$461,000	884m	Full transfer	4	1	1	2	2	$461,000	31	-	Combined Record	-	-	-	Single residential dwelling	$155,000	0.34
2006	214687	49 Castleton Crescent	31/01/2006	09/03/2006	03/11/2005	$445,000	832m	Full transfer	4	1	1	2	-	$445,000	89	-	Combined Record	-	-	-	Single residential dwelling	$193,000	0.43
2006	36583	61 Castleton Crescent	26/07/2006	04/09/2006	15/06/2006	$445,000	921m	Full transfer	4	1	1	-	2	$445,000	41	-	Combined Record	-	-	-	Single residential dwelling	$199,000	0.45
2006	169008	4 Bastin Place	19/12/2006	05/02/2007	22/09/2006	$445,000	828m	Full transfer	4	1	1	2	-	$445,000	88	-	Combined Record	-	-	-	Single residential dwelling	$163,000	0.37
2006	214692	28 Coningham Street	13/02/2006	05/05/2006	-	$442,500	672m	Full transfer	-	-	-	-	-	$442,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	214666	48 Castleton Crescent	12/05/2006	20/06/2006	23/03/2006	$442,000	858m	Full transfer	4	1	1	2	-	$442,000	50	-	Combined Record	-	-	-	Single residential dwelling	$198,000	0.45
