Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	32290	35 Goble Street	04/08/2006	08/11/2006	25/05/2006	$955,000	726m	Full transfer	4	1	1	2	-	$955,000	71	-	Combined Record	-	-	-	Single residential dwelling	$393,000	0.41
2006	202513	12 Colvin Street	24/02/2006	03/08/2006	07/12/2005	$905,000	1261m	Full transfer	5	2	1	1	2	$905,000	79	-	Combined Record	-	-	-	Single residential dwelling	$409,000	0.45
2006	35713	10 Goble Street	13/11/2006	11/01/2007	-	$700,000	766m	Full transfer	-	-	-	-	-	$700,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	217992	3 Tudor Place	08/04/2006	16/05/2006	10/03/2006	$680,000	702m	Full transfer	5	2	1	1	-	$680,000	29	-	Combined Record	-	-	-	Single residential dwelling	$359,000	0.53
2006	33123	79 Birdwood Street	04/09/2006	06/12/2006	17/08/2006	$679,000	1098m	Full transfer	4	1	1	1	-	$679,000	18	-	Combined Record	-	-	-	Single residential dwelling	$356,000	0.52
2006	165120	6 Downes Place	18/11/2006	15/02/2007	17/10/2006	$665,000	1030m	Full transfer	4	2	-	3	-	$665,000	32	-	Combined Record	-	-	-	Single residential dwelling	$457,000	0.69
2006	35868	36 Poynton Street	04/11/2006	10/01/2007	05/10/2006	$660,000	875m	Full transfer	4	1	1	-	-	$660,000	30	-	Combined Record	-	-	-	Single residential dwelling	$324,000	0.49
2006	167018	14 Glasgow Street	19/06/2006	27/07/2006	12/05/2006	$650,000	746m	Full transfer	3	2	1	2	-	$650,000	38	-	Combined Record	-	-	-	Single residential dwelling	$434,000	0.67
2006	169062	2 Hyde Place	17/11/2006	08/02/2007	03/11/2006	$640,000	761m	Full transfer	4	1	1	2	-	$640,000	14	-	Combined Record	-	-	-	Single residential dwelling	$323,000	0.5
2006	203283	6 Leane Street	03/12/2006	17/01/2007	-	$640,000	830m	Full transfer	-	-	-	-	-	$640,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	169345	30 Birdwood Street	29/11/2006	20/02/2007	27/10/2006	$615,000	1302m	Full transfer	3	1	-	1	-	$615,000	33	-	Combined Record	-	-	-	Single residential dwelling	$401,000	0.65
