Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	10463	            40 Ringrose Crescent	27/06/2006	22/02/2007	-	$1,625,295	2935m	Full transfer	-	-	-	-	-	$1,625,295	-	-	Government Record	-	-	-	Childcare centre (commercial)	-	-
2006	218205	16 Alanson Place	21/04/2006	07/07/2006	03/04/2006	$1,150,000	1506m	Full transfer	5	2	1	2	-	$1,150,000	18	-	Combined Record	-	-	-	Single residential dwelling	$270,000	0.23
2006	218266	41 Buntine Crescent	12/03/2006	25/05/2006	23/02/2006	$1,120,000	1095m	Full transfer	5	3	1	2	1	$1,120,000	17	-	Combined Record	-	-	-	Single residential dwelling	$318,000	0.28
2006	81392	11 Broinowski Place	13/07/2006	-	18/05/2006	$1,000,000	-	Full transfer	6	3	3	3	-	$1,000,000	56	-	Allhomes Record	-	-	-	-	$1,066,000	1.07
2006	338	            7/5 Broinowski Place	13/07/2006	21/08/2006	-	$1,000,000	9779m	Full transfer	-	-	-	-	-	$1,000,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	83889	12 Whitty Crescent	02/11/2006	-	23/08/2006	$839,000	775m	Full transfer	5	1	1	2	-	$839,000	71	-	Allhomes Record	-	-	-	-	$299,000	0.36
2006	164405	27 Buntine Crescent	22/12/2006	12/03/2007	26/10/2006	$835,000	1012m	Full transfer	5	2	1	2	1	$835,000	57	-	Combined Record	-	-	-	Single residential dwelling	$347,000	0.42
2006	32924	11 Taber Place	15/09/2006	06/12/2006	10/08/2006	$830,000	940m	Full transfer	3	1	1	2	-	$830,000	36	-	Combined Record	-	-	-	Single residential dwelling	$347,000	0.42
2006	35722	12 Whitty Crescent	08/10/2006	08/01/2007	-	$820,000	776m	Full transfer	-	-	-	-	-	$820,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	35903	59 Julia Flynn Avenue	01/11/2006	11/01/2007	-	$690,000	1008m	Full transfer	-	-	-	-	-	$690,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	202514	3 Huffer Close	16/05/2006	03/08/2006	30/08/2005	$687,500	943m	Full transfer	4	1	1	2	-	$687,500	259	-	Combined Record	-	-	-	Single residential dwelling	$347,000	0.5
2006	218196	29 William Wilkins Crescent	22/05/2006	05/07/2006	13/01/2006	$687,500	838m	Full transfer	5	3	-	2	-	$687,500	129	-	Combined Record	-	-	-	Single residential dwelling	$265,000	0.39
2006	203001	77 William Wilkins Crescent	30/09/2006	05/01/2007	-	$680,000	1296m	Full transfer	-	-	-	-	-	$680,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	218263	7 Reddall Close	27/01/2006	10/04/2006	26/10/2005	$675,000	1033m	Full transfer	4	2	2	2	-	$675,000	93	-	Combined Record	-	-	-	Single residential dwelling	$295,000	0.44
2006	218295	5 Alexander Mackie Circuit	21/04/2006	15/06/2006	03/04/2006	$675,000	927m	Full transfer	4	2	1	2	-	$675,000	18	-	Combined Record	-	-	-	Single residential dwelling	$277,000	0.41
