Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	34827	6 Picton Close	24/06/2006	22/08/2006	11/08/2005	$670,000	1232m	Full transfer	4	1	1	2	-	$670,000	317	-	Combined Record	-	-	-	Single residential dwelling	$212,000	0.32
2006	169288	47 Onkaparinga Crescent	22/12/2006	22/02/2007	12/10/2006	$668,000	1173m	Full transfer	4	1	1	2	-	$668,000	71	-	Combined Record	-	-	-	Single residential dwelling	$269,000	0.4
2006	218960	7 Holley Place	25/03/2006	23/05/2006	21/02/2006	$650,000	854m	Full transfer	4	2	1	2	-	$650,000	32	-	Combined Record	-	-	-	Single residential dwelling	$212,000	0.33
2006	229522	42 Bokhara Circuit	11/09/2006	23/10/2006	05/09/2006	$630,000	1449m	Full transfer	3	1	1	2	-	$630,000	6	-	Combined Record	-	-	-	Single residential dwelling	$188,000	0.3
2006	203681	25 Barwon Street	20/05/2006	28/08/2006	28/04/2006	$619,000	1180m	Full transfer	5	1	1	-	-	$619,000	22	-	Combined Record	-	-	-	Single residential dwelling	$223,000	0.36
2006	165767	16 Bellinger Crescent	28/09/2006	23/11/2006	18/08/2006	$585,500	791m	Full transfer	4	3	-	2	1	$585,500	41	-	Combined Record	-	-	-	Single residential dwelling	$212,000	0.36
2006	33264	43 Onkaparinga Crescent	30/11/2006	26/02/2007	31/10/2006	$575,000	1117m	Full transfer	4	2	1	3	-	$575,000	30	-	Combined Record	-	-	-	Single residential dwelling	$235,000	0.41
2006	203327	34 Bokhara Circuit	18/11/2006	16/01/2007	18/10/2006	$550,000	1104m	Full transfer	4	1	1	2	-	$550,000	31	-	Combined Record	-	-	-	Single residential dwelling	$188,000	0.34
2006	218963	11 Capertee Place	18/02/2006	10/05/2006	26/01/2006	$533,000	1122m	Full transfer	4	1	1	2	-	$533,000	23	-	Combined Record	-	-	-	Single residential dwelling	$212,000	0.4
2006	218847	47 Powlett Street	21/03/2006	23/05/2006	03/03/2006	$523,000	746m	Full transfer	4	1	1	2	-	$523,000	18	-	Combined Record	-	-	-	Single residential dwelling	$211,000	0.4
2006	33156	32 Liffey Circuit	25/08/2006	04/12/2006	-	$520,000	980m	Full transfer	-	-	-	-	-	$520,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	169079	10 De Grey Place	08/11/2006	08/02/2007	05/10/2006	$520,000	988m	Full transfer	4	1	1	2	-	$520,000	34	-	Combined Record	-	-	-	Single residential dwelling	$212,000	0.41
2006	34828	12 Bellinger Crescent	20/06/2006	23/08/2006	03/03/2006	$517,000	822m	Full transfer	4	2	1	2	1	$517,000	109	-	Combined Record	-	-	-	Single residential dwelling	$212,000	0.41
2006	80423	32 Liffey Circuit	14/06/2006	-	02/05/2006	$515,000	980m	Full transfer	3	2	-	2	-	$515,000	43	-	Allhomes Record	-	-	-	-	$201,000	0.39
2006	37374	42 Darby Street	07/08/2006	20/09/2006	18/07/2006	$500,100	854m	Full transfer	4	1	1	-	2	$500,100	20	-	Combined Record	-	-	-	Single residential dwelling	$186,000	0.37
2006	203680	9 Bulloo Place	29/07/2006	01/09/2006	07/07/2006	$495,000	1000m	Full transfer	5	1	1	3	-	$495,000	22	-	Combined Record	-	-	-	Single residential dwelling	$188,000	0.38
