Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	306764	29 Apperly Close	08/12/2006	15/02/2007	-	$910,000	1302m	Full transfer	-	-	-	-	-	$910,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	164471	47 Mt Vernon Drive	21/12/2006	16/03/2007	-	$815,000	1338m	Full transfer	-	-	-	-	-	$815,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	219224	5 Ferrier Place	15/03/2006	07/06/2006	24/01/2006	$730,000	1323m	Full transfer	4	1	2	-	-	$730,000	50	-	Combined Record	-	-	-	Single residential dwelling	-	-
2006	203463	61 Ivo Whitton Circuit	16/08/2006	13/09/2006	15/06/2006	$710,000	1121m	Full transfer	4	1	1	2	-	$710,000	62	-	Combined Record	-	-	-	Single residential dwelling	$355,000	0.5
2006	169063	59 Learmonth Drive	15/12/2006	08/02/2007	26/09/2006	$680,000	2448m	Full transfer	4	1	1	2	-	$680,000	80	-	Combined Record	-	-	-	Single residential dwelling	$241,000	0.35
2006	219282	6 Ivo Whitton Circuit	02/03/2006	05/04/2006	04/01/2006	$660,000	955m	Full transfer	5	1	1	2	-	$660,000	57	-	Combined Record	-	-	-	Single residential dwelling	-	-
2006	165095	6 James Scott Close	31/10/2006	13/02/2007	-	$650,000	1043m	Full transfer	-	-	-	-	-	$650,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	37662	7 Ivo Whitton Circuit	18/07/2006	22/10/2006	-	$650,000	1076m	Full transfer	-	-	-	-	-	$650,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	317896	7 Cremin Close	17/08/2006	17/08/2006	-	$640,000	1292m	Full transfer	-	-	-	-	-	$640,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	37380	135 Mt Vernon Drive	10/08/2006	19/09/2006	-	$625,000	1015m	Full transfer	-	-	-	-	-	$625,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	219271	54 Ivo Whitton Circuit	07/02/2006	16/03/2006	30/08/2005	$622,500	922m	Full transfer	4	1	1	2	-	$622,500	161	-	Combined Record	-	-	-	Single residential dwelling	$286,000	0.46
2006	219197	44 Mt Vernon Drive	24/04/2006	15/06/2006	-	$615,000	1055m	Full transfer	-	-	-	-	-	$615,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	219334	7 Apperly Close	03/03/2006	08/05/2006	-	$600,000	1000m	Full transfer	-	-	-	-	-	$600,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	203462	63 Mt Vernon Drive	03/05/2006	12/09/2006	03/03/2006	$580,000	1006m	Full transfer	4	1	1	2	-	$580,000	61	-	Combined Record	-	-	-	Single residential dwelling	$355,000	0.61
2006	34224	103 Mt Vernon Drive	21/09/2006	29/11/2006	14/09/2006	$570,000	1043m	Full transfer	4	1	1	2	-	$570,000	7	-	Combined Record	-	-	-	Single residential dwelling	$286,000	0.5
2006	219125	89 Mt Vernon Drive	23/02/2006	11/04/2006	26/10/2005	$555,000	1044m	Full transfer	4	1	1	2	-	$555,000	120	-	Combined Record	-	-	-	Single residential dwelling	$286,000	0.52
2006	165253	5 Lawrence Crescent	22/12/2006	14/02/2007	-	$549,000	1308m	Full transfer	-	-	-	-	-	$549,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
