Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	169811	12 Bracker Place	04/11/2006	13/12/2006	04/10/2006	$567,000	781m	Full transfer	5	3	-	3	-	$567,000	31	-	Combined Record	-	-	-	Single residential dwelling	$228,000	0.4
2006	169441	4 Merriman Crescent	01/11/2006	22/02/2007	-	$549,000	902m	Full transfer	-	-	-	-	-	$549,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	169581	13 Starritt Place	25/08/2006	14/11/2006	27/07/2006	$531,000	981m	Full transfer	4	1	1	2	-	$531,000	29	-	Combined Record	-	-	-	Single residential dwelling	$212,000	0.4
2006	35848	103 Jackie Howe Crescent	23/09/2006	11/01/2007	16/08/2006	$520,000	1068m	Full transfer	5	1	2	2	-	$520,000	38	-	Combined Record	-	-	-	Single residential dwelling	$191,000	0.37
2006	72062	163 Jackie Howe Crescent	28/02/2006	-	07/12/2005	$510,000	1311m	Full transfer	4	1	1	2	-	$510,000	83	-	Allhomes Record	-	-	-	-	$237,000	0.46
2006	220968	163 Jackie Howe Crescent	17/02/2006	15/03/2006	-	$510,000	1311m	Full transfer	-	-	-	-	-	$510,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	306501	8 Ebsworth Close	09/11/2006	13/03/2007	-	$500,000	894m	Full transfer	-	-	-	-	-	$500,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	202535	133 Jackie Howe Crescent	06/07/2006	04/08/2006	-	$485,000	847m	Full transfer	-	-	-	-	-	$485,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	32859	15 Hardie Close	31/10/2006	04/12/2006	28/08/2006	$482,000	1008m	Full transfer	4	1	1	2	-	$482,000	64	-	Combined Record	-	-	-	Single residential dwelling	$222,000	0.46
2006	169408	15 Jackie Howe Crescent	28/09/2006	12/12/2006	03/08/2006	$470,000	1395m	Full transfer	3	1	1	2	1	$470,000	56	-	Combined Record	-	-	-	Single residential dwelling	$153,000	0.33
2006	317968	15 Max Henry Crescent	25/07/2006	12/10/2006	-	$459,000	825m	Full transfer	-	-	-	-	-	$459,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	168005	16 Max Henry Crescent	10/07/2006	10/08/2006	-	$450,000	792m	Full transfer	-	-	-	-	-	$450,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	169580	41 Coyne Street	11/09/2006	14/11/2006	03/08/2006	$445,000	1175m	Full transfer	4	1	1	1	-	$445,000	39	-	Combined Record	-	-	-	Single residential dwelling	$147,000	0.33
2006	32333	14 Merriman Crescent	03/10/2006	08/11/2006	25/08/2006	$440,000	805m	Full transfer	4	1	1	2	-	$440,000	39	-	Combined Record	-	-	-	Single residential dwelling	$161,000	0.37
2006	319556	9 Beggs Place	22/03/2006	17/05/2006	-	$430,000	830m	Full transfer	-	-	-	-	-	$430,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	164237	3 Body Place	03/07/2006	20/08/2006	14/06/2006	$430,000	936m	Full transfer	4	1	1	1	1	$430,000	19	-	Combined Record	-	-	-	Single residential dwelling	$166,000	0.39
2006	85871	48 Max Henry Crescent	08/11/2006	-	09/08/2006	$425,000	789m	Full transfer	4	1	1	2	-	$425,000	91	-	Allhomes Record	-	-	-	-	$199,000	0.47
2006	165565	25 Hawkesworth Place	20/11/2006	29/01/2007	-	$415,000	973m	Full transfer	-	-	-	-	-	$415,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	220989	7 Hawkesworth Place	21/04/2006	23/05/2006	-	$405,000	1316m	Full transfer	-	-	-	-	-	$405,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	37399	98 Jackie Howe Crescent	15/08/2006	20/09/2006	-	$392,000	937m	Full transfer	-	-	-	-	-	$392,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	84117	6 Starritt Place	08/11/2006	-	06/07/2006	$380,500	625m	Full transfer	3	1	1	2	-	$380,500	125	-	Allhomes Record	-	-	-	-	$146,000	0.38
2006	220949	111 Jackie Howe Crescent	17/01/2006	07/02/2006	-	$370,000	839m	Full transfer	-	-	-	-	-	$370,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
