Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	36818	84 Ainsworth Street	22/12/2006	17/07/2007	-	$3,325,000	3838m	Full transfer	-	-	-	-	-	$3,325,000	-	-	Government Record	-	-	-	Office,professional suite	-	-
2006	120299	133 Shackleton Circuit	21/12/2006	20/04/2007	-	$785,000	1133m	Full transfer	-	-	-	-	-	$785,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	33995	75 Shackleton Circuit	04/11/2006	20/12/2006	05/10/2006	$775,000	1649m	Full transfer	4	1	1	2	-	$775,000	30	-	Combined Record	-	-	-	Single residential dwelling	$359,000	0.46
2006	169736	69 Shackleton Circuit	20/10/2006	12/12/2006	09/08/2006	$740,000	1703m	Full transfer	5	2	1	2	-	$740,000	72	-	Combined Record	-	-	-	Single residential dwelling	$359,000	0.49
2006	221622	8/93 Mawson Place	18/01/2006	03/03/2006	-	$700,000	1218m	Full transfer	-	-	-	-	-	$700,000	-	-	Government Record	-	-	-	Business agency	-	-
2006	221621	7/93 Mawson Place	18/01/2006	03/03/2006	-	$700,000	1218m	Full transfer	-	-	-	-	-	$700,000	-	-	Government Record	-	-	-	Business agency	-	-
2006	221570	14/36 Shackleton Circuit	09/05/2006	20/06/2006	09/03/2006	$646,000	25834m	Full transfer	4	1	1	2	-	$646,000	61	-	Combined Record	-	-	-	Multiple unit dwelling	-	-
2006	221578	21/58 Shackleton Circuit	08/02/2006	28/04/2006	-	$645,000	27939m	Full transfer	-	-	-	-	-	$645,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	168409	9/93 Mawson Place	17/11/2006	23/01/2007	-	$625,000	1218m	Full transfer	-	-	-	-	-	$625,000	-	-	Government Record	-	-	-	Business agency	-	-
2006	168461	10/93 Mawson Place	17/11/2006	23/01/2007	-	$625,000	1218m	Full transfer	-	-	-	-	-	$625,000	-	-	Government Record	-	-	-	Business agency	-	-
2006	165470	7 Markham Street	29/11/2006	30/01/2007	31/08/2006	$620,000	1039m	Full transfer	5	2	-	2	-	$620,000	90	-	Combined Record	-	-	-	Single residential dwelling	$264,000	0.43
2006	221589	13/130 Shackleton Circuit	17/02/2006	16/05/2006	-	$580,000	25845m	Full transfer	-	-	-	-	-	$580,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	221588	10/130 Shackleton Circuit	15/05/2006	21/07/2006	01/02/2006	$570,000	25845m	Full transfer	4	1	1	2	-	$570,000	103	-	Combined Record	-	-	-	Multiple unit dwelling	-	-
2006	88471	31 Hurley Street	07/10/2006	-	14/09/2006	$564,500	1017m	Full transfer	3	-	3	2	-	$564,500	23	-	Allhomes Record	-	-	-	-	$234,000	0.41
2006	318754	1/31 Hurley Street	07/10/2006	05/01/2007	-	$564,500	1017m	Full transfer	-	-	-	-	-	$564,500	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	202538	67 Wilkins Street	29/05/2006	06/08/2006	19/04/2006	$540,000	1539m	Full transfer	5	1	2	-	2	$540,000	40	-	Combined Record	-	-	-	Single residential dwelling	$256,000	0.47
2006	81775	33 Wilkins Street	07/10/2006	-	29/05/2006	$535,000	1048m	Full transfer	3	1	-	1	-	$535,000	131	-	Allhomes Record	-	-	-	-	$251,000	0.47
2006	34871	8 Markham Street	20/06/2006	22/08/2006	-	$506,000	978m	Full transfer	-	-	-	-	-	$506,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	203029	33 Wilkins Street	30/10/2006	05/01/2007	-	$502,000	1048m	Full transfer	-	-	-	-	-	$502,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	168747	6 Pasco Street	31/08/2006	03/10/2006	13/07/2006	$485,000	1138m	Full transfer	4	1	1	2	-	$485,000	49	-	Combined Record	-	-	-	Single residential dwelling	$340,000	0.7
2006	221414	12 Laseron Place	17/03/2006	04/05/2006	10/02/2006	$470,000	880m	Full transfer	4	1	1	1	1	$470,000	35	-	Combined Record	-	-	-	Single residential dwelling	$253,000	0.54
2006	221550	21/1 Wilkins Street	24/02/2006	19/04/2006	-	$465,000	33075m	Full transfer	-	-	-	-	-	$465,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	73306	21/1 Wilkins Street	23/02/2006	-	12/01/2006	$465,000	33075m	Full transfer	4	1	1	2	-	$465,000	42	-	Allhomes Record	-	-	-	-	-	-
