Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	16118	            Dumas Street	03/02/2006	18/04/2006	-	$1,280,000	2146m	Full transfer	-	-	-	-	-	$1,280,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	167036	42 Bean Crescent	25/05/2006	26/07/2006	-	$655,000	787m	Full transfer	-	-	-	-	-	$655,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	221699	6 Buggy Crescent	19/03/2006	03/04/2006	09/02/2006	$650,000	766m	Full transfer	6	3	1	2	-	$650,000	38	-	Combined Record	-	-	-	Single residential dwelling	$230,000	0.35
2006	202541	8 Laurie Place	15/06/2006	03/08/2006	25/05/2006	$600,000	796m	Full transfer	4	3	1	2	-	$600,000	21	-	Combined Record	-	-	-	Single residential dwelling	$195,000	0.33
2006	90859	2 Monson Place	12/11/2006	-	18/10/2006	$596,500	907m	Full transfer	5	1	2	2	-	$596,500	25	-	Allhomes Record	-	-	-	-	$185,000	0.31
2006	169728	69 William Webb Drive	27/09/2006	11/12/2006	14/03/2006	$585,000	833m	Full transfer	4	1	1	2	1	$585,000	197	-	Combined Record	-	-	-	Single residential dwelling	$157,000	0.27
2006	169428	7 Cronin Street	10/10/2006	20/02/2007	-	$580,000	583m	Full transfer	-	-	-	-	-	$580,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	319599	3 Jeanne Young Circuit	21/02/2006	30/03/2006	-	$547,500	802m	Full transfer	-	-	-	-	-	$547,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	168748	25 William Webb Drive	19/06/2006	04/10/2006	31/08/2005	$540,000	773m	Full transfer	4	1	1	3	-	$540,000	292	-	Combined Record	-	-	-	Single residential dwelling	$213,000	0.39
2006	78755	13 Cronin Street	02/08/2006	-	31/03/2006	$530,000	556m	Full transfer	4	1	1	2	-	$530,000	124	-	Allhomes Record	-	-	-	-	$203,000	0.38
2006	37629	46 Kitty McEwan Circuit	11/08/2006	17/10/2006	-	$530,000	557m	Full transfer	-	-	-	-	-	$530,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	32876	29 Jeanne Young Circuit	19/05/2006	05/12/2006	-	$527,200	796m	Full transfer	-	-	-	-	-	$527,200	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	221839	42 Kitty McEwan Circuit	27/03/2006	17/05/2006	-	$525,000	527m	Full transfer	-	-	-	-	-	$525,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
