Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	79198	26 Milari Street	08/06/2006	-	10/04/2006	$865,000	869m	Full transfer	7	2	2	6	-	$865,000	59	-	Allhomes Record	-	-	-	-	$261,000	0.3
2006	36768	22 Milari Street	08/06/2006	05/09/2006	-	$860,000	725m	Full transfer	-	-	-	-	-	$860,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	223246	3 Galmarra Street	03/03/2006	18/07/2006	-	$815,000	858m	Full transfer	-	-	-	-	-	$815,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	319671	107 Paul Coe Crescent	08/03/2006	11/04/2006	-	$800,000	857m	Full transfer	-	-	-	-	-	$800,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	168397	14 Tangari Street	06/11/2006	22/01/2007	20/09/2006	$676,000	842m	Full transfer	4	1	1	4	-	$676,000	47	-	Combined Record	-	-	-	Single residential dwelling	$230,000	0.34
2006	318241	8 Shara Place	02/06/2006	10/08/2006	-	$625,000	891m	Full transfer	-	-	-	-	-	$625,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	168753	20 Gadali Crescent	23/08/2006	03/10/2006	05/05/2006	$600,000	941m	Full transfer	4	1	1	2	-	$600,000	110	-	Combined Record	-	-	-	Single residential dwelling	$288,000	0.48
2006	223311	25 Warrumbul Street	28/03/2006	24/04/2006	07/10/2005	$550,000	777m	Full transfer	4	1	1	2	-	$550,000	172	-	Combined Record	-	-	-	Single residential dwelling	$203,000	0.37
2006	119521	118 Paul Coe Crescent	08/08/2006	30/10/2006	20/07/2006	$528,000	855m	Full transfer	4	1	1	2	-	$528,000	19	-	Combined Record	-	-	-	Single residential dwelling	$238,000	0.45
2006	202556	18 Milari Street	16/06/2006	06/08/2006	28/03/2006	$527,500	1016m	Full transfer	5	1	1	2	-	$527,500	80	-	Combined Record	-	-	-	Single residential dwelling	$276,000	0.52
2006	33177	7 Bunduluk Crescent	12/10/2006	06/12/2006	13/07/2006	$505,000	650m	Full transfer	4	1	1	2	-	$505,000	91	-	Combined Record	-	-	-	Single residential dwelling	$193,000	0.38
2006	223310	29 Warrumbul Street	31/03/2006	02/06/2006	-	$495,000	650m	Full transfer	-	-	-	-	-	$495,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	203718	43 Tipiloura Street	05/07/2006	28/08/2006	21/04/2006	$495,000	716m	Full transfer	4	1	1	2	-	$495,000	75	-	Combined Record	-	-	-	Single residential dwelling	$178,000	0.36
2006	223366	6 Margany Close	28/02/2006	13/06/2006	-	$490,000	489m	Full transfer	-	-	-	-	-	$490,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
