Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	169247	10 Pedder Street	01/11/2006	22/02/2007	11/10/2006	$1,250,000	833m	Full transfer	4	1	3	2	-	$1,250,000	21	-	Combined Record	-	-	-	Single residential dwelling	$381,000	0.3
2006	203147	1 Robinson Street	14/09/2006	05/01/2007	11/08/2006	$1,200,000	1166m	Full transfer	5	1	2	3	-	$1,200,000	34	-	Combined Record	-	-	-	Single residential dwelling	$461,000	0.38
2006	33009	17 Westgarth Street	03/07/2006	05/12/2006	22/06/2006	$877,500	978m	Full transfer	4	2	-	2	-	$877,500	11	-	Combined Record	-	-	-	Single residential dwelling	$453,000	0.52
2006	224515	17 Scrivener Street	11/04/2006	16/05/2006	-	$850,000	714m	Full transfer	-	-	-	-	-	$850,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	224369	17 David Street	03/06/2006	19/04/2006	-	$815,000	751m	Full transfer	-	-	-	-	-	$815,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	32916	202 Dryandra Street	20/08/2006	05/12/2006	18/07/2006	$765,000	667m	Full transfer	5	2	-	-	-	$765,000	33	-	Combined Record	-	-	-	Single residential dwelling	$365,000	0.48
2006	16392	2/34 Westgarth Street	19/05/2006	05/07/2006	28/01/2006	$760,000	1166m	Full transfer	4	1	2	2	-	$760,000	111	-	Combined Record	-	-	-	Multiple unit dwelling	$540,000	0.71
2006	33230	51 Miller Street	22/12/2006	01/03/2007	-	$750,000	664m	Full transfer	-	-	-	-	-	$750,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	34596	2/43 Boobialla Street	11/08/2006	29/09/2006	17/07/2006	$720,000	1442m	Full transfer	3	2	1	2	-	$720,000	25	-	Combined Record	-	-	-	Multiple unit dwelling	-	-
2006	34599	3 Hemmant Street	27/07/2006	27/09/2006	05/07/2006	$720,000	1034m	Full transfer	3	1	-	-	1	$720,000	22	-	Combined Record	-	-	-	Single residential dwelling	$417,000	0.58
2006	35906	7 Yarrow Place	28/10/2006	10/01/2007	26/09/2006	$705,000	1482m	Full transfer	4	2	-	1	-	$705,000	32	-	Combined Record	-	-	-	Single residential dwelling	$522,000	0.74
2006	224382	1 Westgarth Street	04/02/2006	17/05/2006	09/01/2006	$697,000	936m	Full transfer	4	1	-	1	2	$697,000	26	-	Combined Record	-	-	-	Single residential dwelling	$453,000	0.65
2006	224543	15 Cockle Street	11/03/2006	30/05/2006	13/02/2006	$690,000	877m	Full transfer	3	1	1	1	-	$690,000	26	-	Combined Record	-	-	-	Single residential dwelling	$404,000	0.59
2006	203020	6 Mulga Street	14/10/2006	05/01/2007	22/09/2006	$680,000	933m	Full transfer	4	1	1	-	1	$680,000	22	-	Combined Record	-	-	-	Single residential dwelling	$362,000	0.53
2006	224538	23 Miller Street	08/04/2006	21/06/2006	10/03/2006	$657,500	856m	Full transfer	3	2	-	1	-	$657,500	29	-	Combined Record	-	-	-	Single residential dwelling	$429,000	0.65
2006	34049	11 Grevillea Street	03/09/2006	18/12/2006	04/10/2006	$650,000	701m	Full transfer	4	1	1	1	2	$650,000	-	-	Combined Record	-	-	-	Single residential dwelling	$341,000	0.52
2006	33407	3 Westgarth Street	20/09/2006	26/02/2007	21/08/2006	$640,000	783m	Full transfer	3	1	-	-	2	$640,000	30	-	Combined Record	-	-	-	Single residential dwelling	$422,000	0.66
2006	94271	10 Mulga Street	21/12/2006	-	04/12/2006	$625,000	-	Full transfer	3	1	1	2	-	$625,000	17	-	Allhomes Record	-	-	-	-	-	-
2006	10406	            1/18 Boronia Drive	20/12/2006	06/02/2007	-	$625,000	1065m	Full transfer	-	-	-	-	-	$625,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	83772	17 Blackbutt Street	29/08/2006	-	30/06/2006	$620,000	1382m	Full transfer	3	1	-	1	1	$620,000	60	-	Allhomes Record	-	-	-	-	$468,000	0.75
2006	164942	8 Miller Street	10/08/2006	13/10/2006	01/06/2006	$620,000	1141m	Full transfer	3	1	-	1	-	$620,000	70	-	Combined Record	-	-	-	Single residential dwelling	$465,000	0.75
2006	164941	17 Blackbutt Street	30/08/2006	13/10/2006	-	$615,000	1382m	Full transfer	-	-	-	-	-	$615,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	202571	2 Busby Street	21/06/2006	06/08/2006	25/05/2006	$615,000	1068m	Full transfer	4	1	-	1	-	$615,000	27	-	Combined Record	-	-	-	Single residential dwelling	$431,000	0.7
