Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	33366	3 Collocott Crescent	05/12/2006	27/02/2007	-	$542,500	806m	Full transfer	-	-	-	-	-	$542,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	203350	4 Collick Place	27/10/2006	17/01/2007	05/10/2006	$540,000	753m	Full transfer	4	1	2	2	2	$540,000	22	-	Combined Record	-	-	-	Single residential dwelling	$172,000	0.32
2006	307842	2 Lamble Place	21/08/2006	14/11/2006	-	$508,000	1140m	Full transfer	-	-	-	-	-	$508,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	203125	21 Clutterbuck Crescent	26/08/2006	02/01/2007	20/07/2006	$460,000	932m	Full transfer	4	1	1	2	-	$460,000	37	-	Combined Record	-	-	-	Single residential dwelling	$190,000	0.41
2006	34969	40 Newman-Morris Circuit	10/07/2006	21/08/2006	-	$455,000	849m	Full transfer	-	-	-	-	-	$455,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	203496	92 Newman-Morris Circuit	01/08/2006	12/09/2006	-	$442,500	853m	Full transfer	-	-	-	-	-	$442,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	165419	1 Badger Place	22/12/2006	15/02/2007	-	$440,000	813m	Full transfer	-	-	-	-	-	$440,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	224728	26 Hammond Close	09/06/2006	31/07/2006	23/05/2006	$433,000	1003m	Full transfer	4	1	1	2	-	$433,000	17	-	Combined Record	-	-	-	Single residential dwelling	$194,000	0.45
2006	32373	19 Schonell Circuit	19/09/2006	07/11/2006	28/07/2006	$423,000	1041m	Full transfer	3	1	-	-	-	$423,000	53	-	Combined Record	-	-	-	Single residential dwelling	$199,000	0.47
2006	224704	22 Dalgarno Close	23/02/2006	30/03/2006	25/01/2006	$407,000	811m	Full transfer	3	1	1	2	-	$407,000	29	-	Combined Record	-	-	-	Single residential dwelling	$168,000	0.41
2006	86515	1 Van Pelt Place	09/09/2006	-	16/08/2006	$400,000	918m	Full transfer	4	1	1	2	-	$400,000	24	-	Allhomes Record	-	-	-	-	$177,000	0.44
2006	319743	22 Nunan Crescent	24/01/2006	17/03/2006	-	$380,000	858m	Full transfer	-	-	-	-	-	$380,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
