Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	225059	1 Narryer Close	08/02/2006	15/03/2006	21/12/2005	$625,000	1009m	Full transfer	4	2	1	2	-	$625,000	49	-	Combined Record	-	-	-	Single residential dwelling	$206,000	0.33
2006	120142	65 Bimberi Crescent	11/11/2006	17/04/2007	11/10/2006	$580,000	809m	Full transfer	5	1	1	2	-	$580,000	31	-	Combined Record	-	-	-	Single residential dwelling	$200,000	0.34
2006	224952	8 Chaton Place	09/02/2006	30/03/2006	17/11/2005	$570,000	764m	Full transfer	4	2	1	2	-	$570,000	84	-	Combined Record	-	-	-	Single residential dwelling	$205,000	0.36
2006	87247	3 Lambell Close	26/09/2006	-	25/08/2006	$550,000	784m	Full transfer	4	2	1	2	-	$550,000	32	-	Allhomes Record	-	-	-	-	$212,000	0.39
2006	224953	4 Chaton Place	24/02/2006	17/03/2006	-	$530,000	817m	Full transfer	-	-	-	-	-	$530,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	165811	7 Clear Street	06/09/2006	22/11/2006	06/07/2006	$521,000	787m	Full transfer	5	2	1	2	-	$521,000	62	-	Combined Record	-	-	-	Single residential dwelling	$184,000	0.35
2006	225183	23 Mt Warning Crescent	28/03/2006	23/05/2006	02/03/2006	$520,000	549m	Full transfer	4	1	1	2	1	$520,000	26	-	Combined Record	-	-	-	Single residential dwelling	$150,000	0.29
2006	169246	36 Namadgi Circuit	15/12/2006	22/02/2007	-	$510,000	892m	Full transfer	-	-	-	-	-	$510,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	169615	71 Weddin Circuit	08/09/2006	17/11/2006	30/06/2006	$492,000	756m	Full transfer	4	1	1	2	-	$492,000	70	-	Combined Record	-	-	-	Single residential dwelling	$213,000	0.43
2006	203497	3 Dandenong Court	27/07/2006	13/09/2006	25/06/2006	$489,950	819m	Full transfer	4	1	1	2	-	$489,950	32	-	Combined Record	-	-	-	Single residential dwelling	$169,000	0.34
2006	165326	16 Brinkley Circuit	12/12/2006	15/02/2007	16/11/2006	$485,000	789m	Full transfer	4	1	1	2	-	$485,000	26	-	Combined Record	-	-	-	Single residential dwelling	$212,000	0.44
2006	224967	15 Bimberi Crescent	12/01/2006	21/02/2006	25/11/2005	$485,000	939m	Full transfer	4	2	-	2	-	$485,000	48	-	Combined Record	-	-	-	Single residential dwelling	$184,000	0.38
2006	165813	2 Barn Place	25/08/2006	20/11/2006	-	$485,000	956m	Full transfer	-	-	-	-	-	$485,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	34973	7 Feathertop Street	09/06/2006	22/08/2006	-	$480,000	750m	Full transfer	-	-	-	-	-	$480,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	221216	83 Sugarloaf Circle	16/03/2006	16/05/2006	-	$479,000	607m	Full transfer	-	-	-	-	-	$479,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	169214	6 Lambell Close	20/12/2006	23/02/2007	29/11/2006	$473,000	838m	Full transfer	4	1	1	2	-	$473,000	21	-	Combined Record	-	-	-	Single residential dwelling	$200,000	0.42
2006	225266	48 Brinkley Circuit	16/01/2006	21/02/2006	06/10/2005	$452,500	808m	Full transfer	4	1	1	2	-	$452,500	102	-	Combined Record	-	-	-	Single residential dwelling	$182,000	0.4
2006	225238	24 Tinderry Circuit	04/05/2006	30/05/2006	-	$452,000	724m	Full transfer	-	-	-	-	-	$452,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	165807	8 Narryer Close	15/09/2006	20/11/2006	25/08/2006	$450,000	768m	Full transfer	4	1	1	2	-	$450,000	21	-	Combined Record	-	-	-	Single residential dwelling	$182,000	0.4
2006	168914	22 Buller Crescent	03/11/2006	22/03/2007	06/10/2006	$437,000	792m	Full transfer	4	1	1	2	-	$437,000	28	-	Combined Record	-	-	-	Single residential dwelling	$166,000	0.38
2006	34125	26 Mt Warning Crescent	27/10/2006	29/11/2006	-	$432,000	453m	Full transfer	-	-	-	-	-	$432,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	169424	19 Mt Warning Crescent	19/12/2006	20/02/2007	-	$426,000	598m	Full transfer	-	-	-	-	-	$426,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	34142	7 Alma Close	16/10/2006	27/11/2006	-	$420,000	650m	Full transfer	-	-	-	-	-	$420,000	-	-	Government Record	-	-	-	Medium density dwelling	-	-
2006	203738	15 Corona Place	20/07/2006	28/08/2006	06/07/2006	$418,000	794m	Full transfer	4	1	1	2	-	$418,000	14	-	Combined Record	-	-	-	Single residential dwelling	$212,000	0.51
2006	33998	5 Huxley Place	10/11/2006	20/12/2006	-	$412,000	574m	Full transfer	-	-	-	-	-	$412,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	34266	3 Ippia Place	05/10/2006	27/11/2006	-	$411,000	880m	Full transfer	-	-	-	-	-	$411,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	225185	25 Mt Warning Crescent	23/01/2006	13/03/2006	-	$390,000	550m	Full transfer	-	-	-	-	-	$390,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	229576	30 Tinderry Circuit	21/08/2006	23/10/2006	01/08/2006	$387,000	716m	Full transfer	3	1	1	2	-	$387,000	20	-	Combined Record	-	-	-	Single residential dwelling	$160,000	0.41
2006	119542	16 Haystack Crescent	25/09/2006	31/10/2006	01/09/2006	$386,000	350m	Full transfer	4	1	1	2	-	$386,000	24	-	Combined Record	-	-	-	Single residential dwelling	$124,000	0.32
2006	168471	6 Stromlo Crescent	23/10/2006	22/01/2007	-	$385,000	273m	Full transfer	-	-	-	-	-	$385,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	86105	18 Bendora Crescent	04/10/2006	-	10/08/2006	$380,000	442m	Full transfer	4	1	1	2	-	$380,000	55	-	Allhomes Record	-	-	-	-	$125,000	0.33
