Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	9588	             Keltie Street	21/12/2006	14/02/2007	-	$73,170,000	1260m	Full transfer	-	-	-	-	-	$73,170,000	-	-	Government Record	-	-	-	Office,professional suite	-	-
2006	16882	            Bowes Street	08/02/2006	27/06/2006	-	$37,500,000	1571m	Full transfer	-	-	-	-	-	$37,500,000	-	-	Government Record	-	-	-	Bank	-	-
2006	35828	47 Bowes Street	11/09/2006	11/01/2007	-	$23,250,000	11936m	Full transfer	-	-	-	-	-	$23,250,000	-	-	Government Record	-	-	-	Office	-	-
2006	35700	32 Corinna Street	20/10/2006	10/01/2007	-	$7,100,000	690m	Full transfer	-	-	-	-	-	$7,100,000	-	-	Government Record	-	-	-	Residential	-	-
2006	225594	18 Salamander Court	11/05/2006	20/07/2006	-	$2,300,000	1714m	Partial transfer	-	-	-	-	-	$2,300,000	-	-	Government Record	-	-	-	Service trades	-	-
2006	225589	21 Colbee Court	01/02/2006	09/03/2006	-	$2,040,000	702m	Full transfer	-	-	-	-	-	$2,040,000	-	-	Government Record	-	-	-	Office,professional suite	-	-
2006	203505	17 Altree Court	02/08/2006	14/09/2006	-	$1,100,000	702m	Full transfer	-	-	-	-	-	$1,100,000	-	-	Government Record	-	-	-	Shand goods,antique dealer,...	-	-
2006	292	            3/56 Dundas Court	06/10/2006	01/12/2006	-	$900,000	1147m	Full transfer	-	-	-	-	-	$900,000	-	-	Government Record	-	-	-	Office,professional suite	-	-
2006	159	            149/60 Callam Street	13/12/2006	27/03/2007	-	$595,000	8023m	Full transfer	-	-	-	-	-	$595,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	488	            144/60 Callam Street	23/10/2006	08/01/2007	-	$575,000	8023m	Full transfer	-	-	-	-	-	$575,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	9603	            136/60 Callam Street	29/11/2006	13/02/2007	-	$555,000	8023m	Full transfer	-	-	-	-	-	$555,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	16705	            158/60 Callam Street	27/05/2006	07/07/2006	-	$550,000	8023m	Full transfer	-	-	-	-	-	$550,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	16831	            75/60 Callam Street	02/02/2006	10/03/2006	-	$500,000	8023m	Full transfer	-	-	-	-	-	$500,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	16687	            137/60 Callam Street	28/02/2006	29/03/2006	-	$495,000	8023m	Full transfer	-	-	-	-	-	$495,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	16816	            58/60 Callam Street	28/04/2006	30/05/2006	-	$492,500	8023m	Partial transfer	-	-	-	-	-	$492,500	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	225492	20 Bootle Place	25/05/2006	21/07/2006	-	$489,000	163m	Full transfer	-	-	-	-	-	$489,000	-	-	Government Record	-	-	-	Medium density dwelling	-	-
2006	16851	            94/60 Callam Street	05/05/2006	29/05/2006	-	$485,000	8023m	Full transfer	-	-	-	-	-	$485,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	16674	            121/60 Callam Street	24/03/2006	26/05/2006	-	$469,950	8023m	Full transfer	-	-	-	-	-	$469,950	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	16666	            113/60 Callam Street	12/04/2006	23/05/2006	-	$462,500	8023m	Full transfer	-	-	-	-	-	$462,500	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	168765	92 Barnet Close	08/08/2006	03/10/2006	14/07/2006	$447,000	253m	Full transfer	3	1	1	1	-	$447,000	25	-	Combined Record	-	-	-	Medium density dwelling	-	-
2006	318	            44/60 Callam Street	28/03/2006	27/09/2006	-	$445,000	8023m	Full transfer	-	-	-	-	-	$445,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	16810	            53/60 Callam Street	29/03/2006	05/06/2006	-	$445,000	8023m	Full transfer	-	-	-	-	-	$445,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	16657	            105/60 Callam Street	30/01/2006	06/03/2006	-	$439,000	8023m	Full transfer	-	-	-	-	-	$439,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	16794	            35/60 Callam Street	17/05/2006	30/06/2006	-	$437,000	8023m	Full transfer	-	-	-	-	-	$437,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	16781	            22/60 Callam Street	28/03/2006	20/06/2006	-	$437,000	8023m	Full transfer	-	-	-	-	-	$437,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	16789	            30/60 Callam Street	20/04/2006	02/06/2006	-	$425,500	8023m	Full transfer	-	-	-	-	-	$425,500	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	16785	            26/60 Callam Street	09/03/2006	06/04/2006	-	$420,000	8023m	Full transfer	-	-	-	-	-	$420,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	16782	            23/60 Callam Street	30/03/2006	12/05/2006	-	$412,000	8023m	Full transfer	-	-	-	-	-	$412,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
