Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	165203	18 Mugga Way	15/09/2006	15/02/2007	11/08/2006	$3,650,000	5244m	Full transfer	5	2	2	4	-	$3,650,000	35	-	Combined Record	-	-	-	Single residential dwelling	$2,169,000	0.59
2006	294853	4 Moresby Street	10/11/2006	30/01/2007	12/10/2006	$3,050,000	3404m	Full transfer	4	2	1	2	-	$3,050,000	29	-	Combined Record	-	-	-	Single residential dwelling	$1,800,000	0.59
2006	167157	12 Charlotte Street	20/11/2006	11/04/2007	28/10/2006	$2,000,000	1561m	Full transfer	5	1	2	2	-	$2,000,000	23	-	Combined Record	-	-	-	Single residential dwelling	$997,000	0.5
2006	168876	59 Mugga Way	09/12/2006	06/02/2007	16/11/2006	$1,902,000	2008m	Full transfer	4	1	3	2	2	$1,902,000	23	-	Combined Record	-	-	-	Single residential dwelling	$1,079,000	0.57
2006	169314	8 Charlotte Street	11/11/2006	21/02/2007	11/10/2006	$1,810,000	1561m	Full transfer	4	2	1	2	-	$1,810,000	31	-	Combined Record	-	-	-	Single residential dwelling	$997,000	0.55
2006	168766	82 Mugga Way	10/06/2006	08/10/2006	-	$1,740,000	1858m	Full transfer	-	-	-	-	-	$1,740,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	225690	1/15 Scarborough Street	17/03/2006	02/05/2006	10/02/2006	$1,340,000	2066m	Full transfer	3	2	1	2	-	$1,340,000	35	-	Combined Record	-	-	-	Multiple unit dwelling	$945,000	0.71
2006	165099	20 Beagle Street	01/11/2006	14/02/2007	-	$1,296,000	1127m	Full transfer	-	-	-	-	-	$1,296,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	32420	125 Mugga Way	25/08/2006	28/03/2007	17/03/2006	$1,295,000	1317m	Full transfer	3	2	1	2	3	$1,295,000	161	-	Combined Record	-	-	-	Single residential dwelling	$962,000	0.74
2006	34220	111 Endeavour Street	28/10/2006	28/11/2006	28/09/2006	$1,261,000	1368m	Full transfer	4	1	1	3	-	$1,261,000	30	-	Combined Record	-	-	-	Single residential dwelling	$695,000	0.55
