Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	226174	325 Hindmarsh Drive	13/05/2006	03/07/2006	20/04/2006	$565,000	914m	Full transfer	4	1	1	2	-	$565,000	23	-	Combined Record	-	-	-	Single residential dwelling	$189,000	0.33
2006	165821	106 Streeton Drive	23/10/2006	24/11/2006	-	$550,000	878m	Full transfer	-	-	-	-	-	$550,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	32381	15 Yate Gardens	12/10/2006	09/11/2006	27/09/2006	$536,000	1638m	Full transfer	5	2	1	-	2	$536,000	15	-	Combined Record	-	-	-	Single residential dwelling	$222,000	0.41
2006	226134	255 Hindmarsh Drive	25/02/2006	10/05/2006	02/02/2006	$460,000	755m	Full transfer	4	1	1	2	-	$460,000	23	-	Combined Record	-	-	-	Single residential dwelling	$180,000	0.39
2006	33376	319 Hindmarsh Drive	22/12/2006	26/02/2007	18/08/2006	$450,000	853m	Full transfer	4	2	-	1	-	$450,000	126	-	Combined Record	-	-	-	Single residential dwelling	$190,000	0.42
2006	169385	14 Croton Street	22/12/2006	20/02/2007	13/11/2006	$440,000	819m	Full transfer	4	2	-	-	1	$440,000	39	-	Combined Record	-	-	-	Single residential dwelling	$199,000	0.45
2006	34616	7/9 Tristania Street	21/07/2006	27/09/2006	06/04/2006	$432,000	13397m	Full transfer	3	1	1	2	-	$432,000	106	-	Combined Record	-	-	-	Multiple unit dwelling	-	-
2006	165102	6 Sollya Place	07/12/2006	15/02/2007	-	$430,000	754m	Full transfer	-	-	-	-	-	$430,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	226312	51 Darwinia Terrace	10/03/2006	26/04/2006	06/10/2005	$425,000	1095m	Full transfer	4	1	-	4	-	$425,000	155	-	Combined Record	-	-	-	Single residential dwelling	$196,000	0.46
2006	34615	221 Hindmarsh Drive	24/08/2006	25/09/2006	-	$415,000	847m	Full transfer	-	-	-	-	-	$415,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	34327	6 Burgan Place	30/09/2006	29/11/2006	08/09/2006	$415,000	880m	Full transfer	4	1	1	2	-	$415,000	22	-	Combined Record	-	-	-	Single residential dwelling	$175,000	0.42
2006	37621	16 Salsola Street	13/09/2006	22/10/2006	-	$410,000	831m	Full transfer	-	-	-	-	-	$410,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	319838	333 Hindmarsh Drive	14/02/2006	09/03/2006	-	$410,000	1058m	Full transfer	-	-	-	-	-	$410,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	306470	3 Eugenia Street	08/07/2006	17/08/2006	-	$406,000	1256m	Full transfer	-	-	-	-	-	$406,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	226219	108 Streeton Drive	24/04/2006	15/06/2006	25/01/2006	$376,000	941m	Full transfer	4	1	1	-	1	$376,000	89	-	Combined Record	-	-	-	Single residential dwelling	$191,000	0.51
2006	202587	25 Yate Gardens	21/06/2006	03/08/2006	01/06/2006	$372,500	908m	Full transfer	3	1	-	-	1	$372,500	20	-	Combined Record	-	-	-	Single residential dwelling	$200,000	0.54
2006	226173	7 Darwinia Terrace	06/03/2006	24/03/2006	-	$370,500	815m	Full transfer	-	-	-	-	-	$370,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	226149	1 Bangalay Crescent	15/05/2006	23/06/2006	-	$365,000	987m	Full transfer	-	-	-	-	-	$365,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	203014	31 Tristania Street	21/11/2006	03/01/2007	-	$360,000	1316m	Full transfer	-	-	-	-	-	$360,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	119669	36 Carbeen Street	22/09/2006	31/10/2006	30/08/2006	$356,000	798m	Full transfer	3	1	-	-	1	$356,000	23	-	Combined Record	-	-	-	Single residential dwelling	$180,000	0.51
2006	203747	3 Casuarina Street	21/07/2006	30/08/2006	11/05/2006	$355,000	682m	Full transfer	3	1	-	-	1	$355,000	71	-	Combined Record	-	-	-	Single residential dwelling	$190,000	0.54
2006	33096	5 Astelia Place	13/11/2006	07/12/2006	26/10/2006	$355,000	934m	Full transfer	3	1	-	-	2	$355,000	18	-	Combined Record	-	-	-	Single residential dwelling	$190,000	0.54
2006	202586	26 Gungurra Crescent	20/06/2006	06/08/2006	02/06/2006	$349,000	679m	Full transfer	3	1	-	1	-	$349,000	18	-	Combined Record	-	-	-	Single residential dwelling	$179,000	0.51
2006	165357	9 Toona Place	18/05/2006	15/02/2007	27/04/2006	$346,000	959m	Full transfer	3	1	-	2	-	$346,000	21	-	Combined Record	-	-	-	Single residential dwelling	$208,000	0.6
2006	226321	38 Croton Street	10/05/2006	02/06/2006	-	$346,000	720m	Full transfer	-	-	-	-	-	$346,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	226324	75 Croton Street	07/02/2006	17/03/2006	12/01/2006	$340,000	730m	Full transfer	3	1	1	-	2	$340,000	26	-	Combined Record	-	-	-	Single residential dwelling	$197,000	0.58
2006	165111	10 Croton Street	18/12/2006	15/02/2007	06/12/2006	$339,000	804m	Full transfer	3	1	-	2	-	$339,000	12	-	Combined Record	-	-	-	Single residential dwelling	$199,000	0.59
2006	226143	25 Hibiscus Crescent	25/01/2006	24/02/2006	-	$335,000	753m	Full transfer	-	-	-	-	-	$335,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	164289	71 Croton Street	30/06/2006	17/08/2006	-	$333,000	756m	Full transfer	-	-	-	-	-	$333,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	226258	16 Casuarina Street	18/05/2006	21/07/2006	06/04/2006	$324,500	807m	Full transfer	3	1	-	-	2	$324,500	42	-	Combined Record	-	-	-	Single residential dwelling	$184,000	0.57
2006	226272	16 Kanooka Street	27/04/2006	04/07/2006	10/03/2006	$323,000	915m	Full transfer	3	1	-	1	-	$323,000	48	-	Combined Record	-	-	-	Single residential dwelling	$190,000	0.59
2006	34140	19 Casuarina Street	24/10/2006	01/12/2006	-	$322,500	780m	Full transfer	-	-	-	-	-	$322,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	87548	213 Hindmarsh Drive	27/10/2006	-	31/08/2006	$321,000	815m	Full transfer	3	1	-	2	-	$321,000	57	-	Allhomes Record	-	-	-	-	$175,000	0.55
2006	165513	19 Carbeen Street	08/12/2006	30/01/2007	-	$320,000	822m	Full transfer	-	-	-	-	-	$320,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	165822	22 Croton Street	07/10/2006	21/11/2006	13/09/2006	$320,000	838m	Full transfer	3	1	1	2	1	$320,000	24	-	Combined Record	-	-	-	Single residential dwelling	$199,000	0.62
2006	36784	6 Casuarina Street	14/08/2006	05/09/2006	-	$320,000	787m	Full transfer	-	-	-	-	-	$320,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	313707	5 Hibiscus Crescent	10/01/2006	08/02/2006	-	$319,000	730m	Full transfer	-	-	-	-	-	$319,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	226247	28 Woollum Crescent	10/01/2006	24/02/2006	26/10/2005	$317,500	753m	Full transfer	3	1	-	2	1	$317,500	76	-	Combined Record	-	-	-	Single residential dwelling	$205,000	0.65
2006	226302	2 Blancoa Place	28/04/2006	23/05/2006	30/11/2005	$312,000	371m	Full transfer	3	1	-	1	-	$312,000	149	-	Combined Record	-	-	-	Single residential dwelling	$151,000	0.48
2006	169623	227 Hindmarsh Drive	04/10/2006	13/11/2006	-	$310,000	742m	Full transfer	-	-	-	-	-	$310,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	226268	9 Kanooka Street	03/05/2006	15/06/2006	-	$305,000	694m	Full transfer	-	-	-	-	-	$305,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	226119	37 Darwinia Terrace	05/05/2006	20/06/2006	-	$288,000	911m	Full transfer	-	-	-	-	-	$288,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	169624	42 Marlock Street	20/10/2006	13/11/2006	-	$280,000	694m	Full transfer	-	-	-	-	-	$280,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	226151	31 Santalum Street	07/02/2006	01/03/2006	25/01/2006	$279,000	745m	Full transfer	3	1	-	1	-	$279,000	13	-	Combined Record	-	-	-	Single residential dwelling	$180,000	0.65
2006	203101	18/5 Tristania Street	09/11/2006	05/01/2007	-	$265,000	10408m	Full transfer	-	-	-	-	-	$265,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	164292	16/5 Tristania Street	03/07/2006	18/08/2006	-	$243,000	10408m	Full transfer	-	-	-	-	-	$243,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	34985	27 Marlock Street	29/06/2006	22/08/2006	-	$230,000	776m	Full transfer	-	-	-	-	-	$230,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	226289	22 Burgan Place	24/04/2006	16/06/2006	-	$3,650	863m	Partial transfer	-	-	-	-	-	$3,650	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	202991	15 Goodenia Street	10/12/2006	04/01/2007	-	$0	915m	Partial transfer	-	-	-	-	-	$0	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	35948	17 Hibiscus Crescent	13/10/2006	05/07/2007	-	$0	684m	Full transfer	-	-	-	-	-	$0	-	-	Government Record	-	-	-	Single residential dwelling	-	-
