Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	226466	15 Pickles Street	25/03/2006	19/05/2006	-	$438,000	806m	Full transfer	-	-	-	-	-	$438,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	165826	10 Pickles Street	24/10/2006	21/11/2006	-	$430,000	948m	Full transfer	-	-	-	-	-	$430,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	164293	3 Ulm Street	07/07/2006	16/08/2006	-	$390,000	644m	Full transfer	-	-	-	-	-	$390,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	226346	32 Wirraway Crescent	12/05/2006	21/06/2006	27/04/2006	$390,000	705m	Full transfer	4	2	-	1	-	$390,000	15	-	Combined Record	-	-	-	Single residential dwelling	$173,000	0.44
2006	169131	32 McMaster Street	20/12/2006	06/02/2007	-	$375,000	806m	Full transfer	-	-	-	-	-	$375,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	33835	32 Holyman Street	03/11/2006	19/12/2006	-	$372,000	902m	Full transfer	-	-	-	-	-	$372,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	226404	79 Chewings Street	01/06/2006	26/07/2006	10/05/2006	$370,000	1058m	Full transfer	4	2	-	2	-	$370,000	22	-	Combined Record	-	-	-	Single residential dwelling	$141,000	0.38
2006	203750	15 Ross Smith Crescent	16/06/2006	31/08/2006	21/03/2006	$369,000	794m	Full transfer	3	1	-	-	1	$369,000	87	-	Combined Record	-	-	-	Single residential dwelling	$167,000	0.45
2006	36785	20 Jindivik Place	18/07/2006	04/09/2006	19/05/2006	$365,000	723m	Full transfer	4	1	-	-	1	$365,000	60	-	Combined Record	-	-	-	Single residential dwelling	$167,000	0.46
2006	203748	18 Ulm Street	20/07/2006	28/08/2006	-	$365,000	899m	Full transfer	-	-	-	-	-	$365,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	165824	16 Wirraway Crescent	13/09/2006	23/11/2006	-	$365,000	673m	Full transfer	-	-	-	-	-	$365,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	35636	33 Holyman Street	12/09/2006	11/01/2007	23/08/2006	$365,000	920m	Full transfer	4	1	1	1	1	$365,000	20	-	Combined Record	-	-	-	Single residential dwelling	$175,000	0.48
2006	203509	44 Broadbent Street	04/08/2006	11/09/2006	-	$363,500	694m	Full transfer	-	-	-	-	-	$363,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	226423	8 Holyman Street	16/03/2006	20/04/2006	23/02/2006	$361,000	794m	Full transfer	4	1	-	2	-	$361,000	21	-	Combined Record	-	-	-	Single residential dwelling	$190,000	0.53
2006	165268	34 Holyman Street	22/12/2006	15/02/2007	24/11/2006	$360,000	714m	Full transfer	3	1	-	2	-	$360,000	28	-	Combined Record	-	-	-	Single residential dwelling	$217,000	0.6
2006	37617	32 Levien Street	16/06/2006	18/10/2006	-	$354,950	889m	Full transfer	-	-	-	-	-	$354,950	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	165492	15 Wirraway Crescent	20/11/2006	31/01/2007	07/11/2006	$352,000	820m	Full transfer	3	1	-	2	-	$352,000	13	-	Combined Record	-	-	-	Single residential dwelling	$164,000	0.47
2006	34232	13 Mackinolty Street	11/10/2006	01/12/2006	30/08/2006	$341,000	708m	Full transfer	3	1	-	1	-	$341,000	42	-	Combined Record	-	-	-	Single residential dwelling	$159,000	0.47
