Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2017	574734	            4 Havard Street	16/10/2017	22/11/2019	-	$226,100	313m	Full transfer	-	-	-	-	-	$226,100	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2018	543577	             Pro Hart Avenue	18/10/2018	-	14/09/2018	$1,950,000	1800m	Full transfer	-	-	-	-	-	$1,950,000	34	-	Allhomes Record	-	-	-	-	-	-
2018	545435	             Tredwell Street	18/10/2018	-	14/09/2018	$1,450,000	1400m	Full transfer	-	-	-	-	-	$1,450,000	34	-	Allhomes Record	-	-	-	-	-	-
2018	543568	             Yeomans Street	18/10/2018	-	14/09/2018	$804,000	1345m	Full transfer	-	-	-	-	-	$804,000	34	-	Allhomes Record	-	-	-	-	-	-
2018	569838	            84 Tredwell Street	14/05/2018	19/09/2019	-	$227,700	294m	Full transfer	-	-	-	-	-	$227,700	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2018	574719	            45 Fairbrother Street	11/05/2018	20/11/2019	-	$227,200	314m	Full transfer	-	-	-	-	-	$227,200	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2019	565367	            20 Yeomans Street	04/08/2019	-	22/02/2019	$675,000	537m	Full transfer	4	2	-	2	-	$675,000	163	-	Allhomes Record	260	-	-	-	-	-
2019	573827	21 Fairbrother Street	27/11/2019	-	26/09/2018	$599,000	0m	Full transfer	4	2	-	2	0	$599,000	427	-	Allhomes Record	-	-	-	-	-	-
2019	574184	            10 Boxall Lane	10/12/2019	-	02/10/2019	$549,900	350m	Full transfer	3	2	1	2	0	$549,900	69	-	Allhomes Record	-	-	-	-	-	-
2019	574002	            32 Fairbrother Street	13/11/2019	-	23/10/2019	$440,000	640m	Full transfer	-	-	-	-	-	$440,000	21	-	Allhomes Record	-	-	-	-	-	-
2019	576452	            16 Ariotti Street	30/09/2019	10/12/2019	-	$350,000	545m	Full transfer	-	-	-	-	-	$350,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2019	565626	            20 Yeomans Street	12/06/2019	22/07/2019	-	$350,000	537m	Full transfer	-	-	-	-	-	$350,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
