Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2008	534759	            26 Alison Burton Rise	03/04/2008	04/06/2018	-	$285,000	315m	Full transfer	-	-	-	-	-	$285,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2012	524147	            11 Robin Boyd Crescent	09/11/2012	22/01/2018	-	$324,000	405m	Full transfer	-	-	-	-	-	$324,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2017	507726		07/09/2017	-	02/05/2017	$754,600	456m	Full transfer	4	1	1	2	-	$754,600	128	-	Allhomes Record	185	-	-	-	-	-
2017	506391		14/07/2017	-	02/05/2017	$751,339	422m	Full transfer	4	1	1	2	-	$751,339	73	-	Allhomes Record	155	-	-	-	-	-
2017	533531	            2 Nethercote Street	13/11/2017	24/05/2018	-	$405,000	541m	Full transfer	-	-	-	-	-	$405,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2017	534181	            53 McCredie Street	23/11/2017	29/05/2018	-	$387,000	450m	Full transfer	-	-	-	-	-	$387,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2017	522111	            13 Feilman Street	16/10/2017	14/12/2017	-	$385,000	518m	Full transfer	-	-	-	-	-	$385,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2017	509042	            NO Street Name	12/10/2017	-	29/06/2017	$385,000	517m	Full transfer	4	2	-	2	-	$385,000	105	-	Allhomes Record	-	-	-	-	-	-
2017	536154	            49 McCredie Street	12/09/2017	27/06/2018	-	$380,000	450m	Full transfer	-	-	-	-	-	$380,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2017	520995	            22 Feilman Street	12/10/2017	27/11/2017	-	$370,000	458m	Full transfer	-	-	-	-	-	$370,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2017	521045	            18 Feilman Street	08/09/2017	29/11/2017	-	$361,500	450m	Full transfer	-	-	-	-	-	$361,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
