Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	35609	50 Gamor Street	08/12/2006	08/01/2007	07/11/2006	$580,000	971m	Full transfer	4	1	2	2	3	$580,000	31	-	Combined Record	-	-	-	Single residential dwelling	$209,000	0.36
2006	202600	94 Badimara Street	28/06/2006	04/08/2006	-	$485,000	1067m	Full transfer	-	-	-	-	-	$485,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	203768	36 Alawa Street	28/07/2006	30/08/2006	-	$472,000	1028m	Full transfer	-	-	-	-	-	$472,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	165390	5 Warrai Place	09/12/2006	16/02/2007	16/11/2006	$456,000	877m	Full transfer	4	1	1	4	-	$456,000	23	-	Combined Record	-	-	-	Single residential dwelling	$205,000	0.45
2006	164959	19 Damala Street	25/08/2006	09/10/2006	-	$450,000	775m	Full transfer	-	-	-	-	-	$450,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	228360	24 Garanya Street	31/01/2006	13/03/2006	12/01/2006	$440,000	931m	Full transfer	5	2	-	2	-	$440,000	19	-	Combined Record	-	-	-	Single residential dwelling	$181,000	0.41
2006	228311	37 Yiman Street	09/06/2006	06/07/2006	23/02/2006	$430,000	708m	Full transfer	4	1	-	1	1	$430,000	106	-	Combined Record	-	-	-	Single residential dwelling	$196,000	0.46
2006	168782	55 Yiman Street	01/09/2006	05/10/2006	21/07/2006	$430,000	834m	Full transfer	5	1	-	4	2	$430,000	42	-	Combined Record	-	-	-	Single residential dwelling	$200,000	0.47
2006	228397	21 Burara Crescent	09/05/2006	06/07/2006	-	$425,000	750m	Full transfer	-	-	-	-	-	$425,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	37548	16 Adinda Street	25/08/2006	22/09/2006	05/07/2006	$422,000	738m	Full transfer	5	1	1	-	3	$422,000	51	-	Combined Record	-	-	-	Single residential dwelling	$187,000	0.44
2006	228257	5 Algan Street	09/06/2006	06/07/2006	-	$420,100	809m	Full transfer	-	-	-	-	-	$420,100	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	91632	4 Manu Place	13/11/2006	-	26/10/2006	$420,000	1001m	Full transfer	3	1	-	2	2	$420,000	18	-	Allhomes Record	-	-	-	-	$219,000	0.52
2006	169294	3 Alura Place	11/12/2006	19/02/2007	24/11/2006	$420,000	808m	Full transfer	3	1	-	2	-	$420,000	17	-	Combined Record	-	-	-	Single residential dwelling	$209,000	0.5
2006	37547	36 Nemarang Crescent	04/08/2006	21/09/2006	-	$417,000	730m	Full transfer	-	-	-	-	-	$417,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	35006	4 Tiwi Place	24/05/2006	21/08/2006	-	$416,000	666m	Full transfer	-	-	-	-	-	$416,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	228367	136 Badimara Street	15/02/2006	27/04/2006	21/01/2006	$416,000	940m	Full transfer	3	1	-	-	1	$416,000	25	-	Combined Record	-	-	-	Single residential dwelling	$183,000	0.44
2006	34632	10 Nemarang Crescent	07/08/2006	27/09/2006	-	$415,000	829m	Full transfer	-	-	-	-	-	$415,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	228342	14 Nemarang Crescent	10/02/2006	05/04/2006	-	$415,000	785m	Full transfer	-	-	-	-	-	$415,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	228335	52 Nemarang Crescent	23/02/2006	26/04/2006	15/12/2005	$415,000	743m	Full transfer	4	1	1	-	2	$415,000	70	-	Combined Record	-	-	-	Single residential dwelling	$168,000	0.4
2006	35674	18 Malara Street	24/11/2006	11/01/2007	28/09/2006	$410,000	939m	Full transfer	4	1	-	4	-	$410,000	57	-	Combined Record	-	-	-	Single residential dwelling	$210,000	0.51
2006	228324	3 Bidia Place	05/05/2006	23/06/2006	17/03/2006	$408,000	967m	Full transfer	4	1	1	-	2	$408,000	49	-	Combined Record	-	-	-	Single residential dwelling	$177,000	0.43
2006	169640	16 Yiman Street	09/08/2006	14/11/2006	27/04/2006	$400,000	765m	Full transfer	4	1	1	2	-	$400,000	104	-	Combined Record	-	-	-	Single residential dwelling	$209,000	0.52
2006	165838	1 Burara Crescent	11/10/2006	24/11/2006	-	$400,000	847m	Full transfer	-	-	-	-	-	$400,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	168470	42 Woralul Street	28/11/2006	22/01/2007	17/10/2006	$399,000	694m	Full transfer	3	1	-	1	1	$399,000	42	-	Combined Record	-	-	-	Single residential dwelling	$183,000	0.46
2006	165354	21 Wambaya Crescent	20/12/2006	14/02/2007	08/12/2006	$395,660	747m	Full transfer	4	1	-	2	-	$395,660	12	-	Combined Record	-	-	-	Single residential dwelling	$200,000	0.51
