Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	164962	17 Roma Mitchell Crescent	05/05/2006	10/10/2006	-	$800,000	707m	Full transfer	-	-	-	-	-	$800,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	169019	13 Roma Mitchell Crescent	09/12/2006	07/02/2007	08/11/2006	$675,000	650m	Full transfer	3	1	1	2	-	$675,000	31	-	Combined Record	-	-	-	Single residential dwelling	$344,000	0.51
2006	169340	11 Roma Mitchell Crescent	09/12/2006	19/02/2007	08/11/2006	$640,000	617m	Full transfer	3	2	-	2	-	$640,000	31	-	Combined Record	-	-	-	Single residential dwelling	$344,000	0.54
2006	17392	            15/22 Negus Crescent	21/04/2006	15/06/2006	-	$625,000	10580m	Full transfer	-	-	-	-	-	$625,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	13428	            10/22 Negus Crescent	07/07/2006	28/08/2006	-	$620,000	10580m	Full transfer	-	-	-	-	-	$620,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	17391	            11/22 Negus Crescent	30/03/2006	23/05/2006	-	$615,000	10580m	Full transfer	-	-	-	-	-	$615,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	17402	            6/22 Negus Crescent	22/02/2006	10/04/2006	-	$599,000	10580m	Full transfer	-	-	-	-	-	$599,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	17401	            5/22 Negus Crescent	22/03/2006	16/05/2006	-	$599,000	10580m	Full transfer	-	-	-	-	-	$599,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	37552	23/22 Negus Crescent	04/07/2006	20/09/2006	-	$599,000	10580m	Full transfer	-	-	-	-	-	$599,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	17494	            17/22 Negus Crescent	03/10/2006	29/10/2006	-	$595,000	10580m	Full transfer	-	-	-	-	-	$595,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	17396	            2/22 Negus Crescent	17/02/2006	20/06/2006	-	$595,000	10580m	Full transfer	-	-	-	-	-	$595,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	17400	            4/22 Negus Crescent	21/02/2006	23/06/2006	-	$591,500	10580m	Full transfer	-	-	-	-	-	$591,500	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	17404	            8/22 Negus Crescent	02/06/2006	19/07/2006	-	$589,000	10580m	Partial transfer	-	-	-	-	-	$589,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	279	            14/22 Negus Crescent	05/09/2006	28/11/2006	-	$585,000	10580m	Full transfer	-	-	-	-	-	$585,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	228692	8 A'Beckett Street	06/06/2006	26/06/2006	27/04/2006	$582,000	934m	Full transfer	4	2	-	2	-	$582,000	40	-	Combined Record	-	-	-	Single residential dwelling	$250,000	0.43
2006	17398	            22/22 Negus Crescent	21/04/2006	05/06/2006	-	$580,000	10580m	Full transfer	-	-	-	-	-	$580,000	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
2006	119798	13 Flos Greig Street	21/12/2006	02/04/2007	-	$580,000	518m	Full transfer	-	-	-	-	-	$580,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	17405	            9/22 Negus Crescent	22/02/2006	28/04/2006	-	$576,500	10580m	Full transfer	-	-	-	-	-	$576,500	-	-	Government Record	-	-	-	Multiple unit dwelling	-	-
