Year	Id	Address	ContractDate	TransferDate	ListDate	Price	BlockSize	Transfer Type	Bedrooms	Bathrooms	Ensuites	Garages	Carports	FullSalePrice	DaysOnMarket	SaleType	SaleRecordSource	BuildingSize	LandType	PropertyType	Purpose	UnimprovedValue	UnimprovedValueRatio
2006	202613	116 Empire Circuit	19/06/2006	06/08/2006	10/02/2006	$2,750,000	2855m	Full transfer	6	4	-	2	-	$2,750,000	129	-	Combined Record	-	-	-	Single residential dwelling	$1,281,000	0.47
2006	164628	3 Arkana Street	19/12/2006	11/07/2007	-	$2,400,000	3297m	Full transfer	-	-	-	-	-	$2,400,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	203114	34 Gunn Street	09/10/2006	05/01/2007	-	$1,680,000	930m	Full transfer	-	-	-	-	-	$1,680,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	232813	34 Banks Street	23/07/2006	08/11/2007	-	$1,550,000	764m	Full transfer	-	-	-	-	-	$1,550,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	164321	17 Schlich Street	29/06/2006	15/08/2006	-	$1,440,000	743m	Full transfer	-	-	-	-	-	$1,440,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	84436	27 Black Street	12/07/2006	-	12/07/2006	$1,427,500	648m	Full transfer	4	2	1	2	-	$1,427,500	-	-	Allhomes Record	-	-	-	-	$612,000	0.43
2006	202616	5 Woolls Street	19/05/2006	03/08/2006	-	$1,350,000	736m	Full transfer	-	-	-	-	-	$1,350,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	203134	33 Hampton Circuit	23/09/2006	05/01/2007	30/08/2006	$1,325,000	1846m	Full transfer	3	1	-	2	-	$1,325,000	24	-	Combined Record	-	-	-	Single residential dwelling	$825,000	0.62
2006	229272	3 Hunter Street	02/05/2006	27/06/2006	-	$1,312,500	1440m	Full transfer	-	-	-	-	-	$1,312,500	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	229262	65 Schlich Street	24/03/2006	05/06/2006	16/11/2005	$1,300,000	603m	Full transfer	4	1	1	2	-	$1,300,000	128	-	Combined Record	-	-	-	Single residential dwelling	$431,000	0.33
2006	229337	9 Francis Street	15/03/2006	16/05/2006	09/03/2006	$1,265,000	808m	Full transfer	5	2	1	2	-	$1,265,000	6	-	Combined Record	-	-	-	Single residential dwelling	$640,000	0.51
2006	229451	3 Banks Street	11/01/2006	29/03/2006	14/10/2005	$1,250,000	687m	Full transfer	4	2	1	2	-	$1,250,000	89	-	Combined Record	-	-	-	Single residential dwelling	$565,000	0.45
2006	165844	52 Schlich Street	10/10/2006	20/11/2006	-	$1,130,000	741m	Full transfer	-	-	-	-	-	$1,130,000	-	-	Government Record	-	-	-	Single residential dwelling	-	-
2006	229448	5 Banks Street	24/03/2006	01/06/2006	08/03/2006	$1,120,000	617m	Full transfer	4	1	1	2	-	$1,120,000	16	-	Combined Record	-	-	-	Single residential dwelling	$565,000	0.5
2006	229294	15 Weld Street	31/03/2006	20/06/2006	24/03/2006	$1,100,000	835m	Full transfer	4	2	-	1	-	$1,100,000	7	-	Combined Record	-	-	-	Single residential dwelling	$642,000	0.58
2006	169231	2 Loftus Street	28/11/2006	21/02/2007	14/11/2006	$1,100,000	1003m	Full transfer	5	1	2	1	-	$1,100,000	14	-	Combined Record	-	-	-	Single residential dwelling	$568,000	0.52
